Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,0.16679022,15.233759,15.281205,0.033734996,0.0002992805,0.19976018,0.0009976258,998.0357142857143,1.5009646607296807,1.5009646607296807,1.0
40000,0.1898163,6.454094,7.70858,0.02020259,0.00029897652,0.19965883,0.0009966225,None,None,None,1.0
50000,0.15738884,3.0294871,1.3148882,0.02305088,0.00029865393,0.1995513,0.000995558,None,None,None,1.0
60000,0.13806012,4.3172092,1.1931025,0.023986304,0.0002983429,0.19944763,0.0009945316,999.0,1.1250005513429642,1.1250005513429642,1.0
70000,0.068205304,7.7808547,2.4550047,0.0171019,0.000298029,0.19934298,0.0009934957,None,None,None,1.0
80000,0.024937784,6.83137,1.3114588,0.020071784,0.00029776018,0.1992534,0.0009926086,None,None,None,1.0
90000,0.06815666,1.9049276,2.539973,0.026977815,0.00029750288,0.19916765,0.0009917597,999.0,0.37500015646219254,0.37500015646219254,1.0
100000,0.09176943,-0.15712087,0.20491086,0.01683178,0.000297189,0.19906299,0.0009907236,None,None,None,1.0
110000,0.066368364,-0.37770006,0.056998372,0.026476147,0.00029686643,0.19895546,0.0009896592,999.0,-0.7777777537703514,-0.7777777537703514,1.0
120000,0.11053082,1.6109921,0.6512127,0.018739114,0.00029656212,0.19885404,0.0009886549,None,0.1842108388480387,0.1842108388480387,1.0
130000,0.048649605,1.0059109,0.1343682,0.028442837,0.00029624146,0.19874716,0.0009875968,None,None,None,1.0
140000,0.068208195,0.8045271,0.044006933,0.019300357,0.0002959237,0.19864124,0.0009865483,999.0,-0.12499993294477463,-0.12499993294477463,1.0
150000,0.06735189,0.027338868,0.59942824,0.019770695,0.00029561648,0.19853882,0.0009855345,None,None,None,1.0
160000,0.05588907,0.3434737,0.3179145,0.023004793,0.0002953477,0.19844922,0.0009846475,None,None,None,1.0
170000,0.12635556,0.7314014,0.10395809,0.021169642,0.0002950837,0.19836123,0.0009837763,999.0,1.0000004507601261,1.0000004507601261,1.0
180000,0.19471933,0.3775198,0.28838828,0.016945217,0.00029477652,0.19825883,0.0009827624,None,None,None,1.0
190000,0.17822655,-0.23051456,0.067308895,0.022074059,0.00029445396,0.1981513,0.000981698,None,None,None,1.0
200000,0.15043917,-0.69057953,0.77912474,0.023628138,0.0002941429,0.19804764,0.0009806716,999.0,0.3750003054738045,0.3750003054738045,1.0
210000,0.15003765,-1.0372806,0.63748044,0.020302974,0.00029382898,0.19794299,0.0009796357,None,None,None,1.0
220000,0.13093154,-0.23544353,0.048074473,0.023342729,0.00029356018,0.19785339,0.0009787487,None,None,None,1.0
230000,0.10445799,-1.382155,0.17125829,0.023487547,0.0002933029,0.19776763,0.0009778998,999.0,0.2500001974403858,0.2500001974403858,1.0
240000,0.09381028,-2.123733,0.48363867,0.02407883,0.000292989,0.197663,0.0009768637,None,None,None,1.0
250000,0.07070892,-1.6673778,0.105724156,0.027361145,0.0002926664,0.19755547,0.0009757993,999.0,-1.1666663893395,-1.1666663893395,1.0
260000,0.12071924,-1.3061802,0.6022879,0.02001638,0.0002923621,0.19745402,0.000974795,None,0.7368424350493833,0.7368424350493833,1.0
270000,0.12220084,-0.28305492,0.48494282,0.018791461,0.00029204148,0.19734716,0.0009737369,None,None,None,1.0
