Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,1.3788437,0.71835244,0.06274795,0.026041647,0.0002993549,0.19978501,9.980648e-05,998.0357142857143,1.6259648012263435,1.6259648012263435,1.0
40000,1.3786833,0.37680933,None,None,None,None,None,None,None,None,1.0
50000,1.3680891,0.4806316,0.027491177,0.027322927,0.00029873077,0.19957694,9.961923e-05,999.0,-1.4999999701976776,-1.4999999701976776,1.0
60000,1.3774353,0.4500648,None,None,None,None,None,999.0,0.7884617287379044,0.7884617287379044,1.0
70000,1.3792759,0.6145856,0.014452551,0.020562684,0.00029810573,0.19936858,9.943173e-05,None,None,None,1.0
80000,1.378457,0.68048894,None,None,None,None,None,999.0,2.2000002682209017,2.2000002682209017,1.0
90000,1.3823277,0.4318468,0.032613676,0.0286537,0.00029748087,0.1991603,9.924423e-05,None,0.3333336826827791,0.3333336826827791,1.0
100000,1.3829299,0.62502956,None,None,None,None,None,None,None,None,1.0
110000,1.381388,0.7090285,0.05643075,0.026345957,0.00029683558,0.1989452,9.905072e-05,999.0,3.3157903763808703,3.3157903763808703,1.0
120000,1.3826592,0.73842824,None,None,None,None,None,None,2.333334081702762,2.333334081702762,1.0
130000,1.3741057,0.57187855,0.042847935,0.02434697,0.00029621075,0.19873692,9.886322e-05,None,None,None,1.0
140000,1.3745931,0.56943274,None,None,None,None,None,999.0,2.2500007525086403,2.2500007525086403,1.0
150000,1.3585154,0.633485,0.03133279,0.021674776,0.0002955857,0.19852857,9.8675744e-05,None,None,None,1.0
160000,1.3497041,0.58893645,None,None,None,None,None,None,None,None,1.0
170000,1.362434,0.5945396,0.015316452,0.024377061,0.00029496086,0.19832028,9.848825e-05,999.0,2.125000551342964,2.125000551342964,1.0
180000,1.3721925,0.36216497,None,None,None,None,None,None,None,None,1.0
190000,1.3724355,0.21481642,0.022995071,0.023994802,0.00029431577,0.19810519,9.829469e-05,999.0,1.0000005662441254,1.0000005662441254,1.0
200000,1.37152,0.30885053,None,None,None,None,None,999.0,0.46153892748630965,0.46153892748630965,1.0
210000,1.3687867,0.45490837,None,None,None,None,None,None,None,None,1.0
220000,1.3552206,0.3420958,0.017317383,0.025355665,0.00029369074,0.19789693,9.810723e-05,999.0,1.5500005245208741,1.5500005245208741,1.0
230000,1.3688769,0.22635593,None,None,None,None,None,None,1.08333367937141,1.08333367937141,1.0
240000,1.3690928,0.026187334,0.023071308,0.025299642,0.00029306574,0.19768862,9.791973e-05,None,None,None,1.0
250000,1.3669212,0.17806694,None,None,None,None,None,999.0,1.0000007191770954,1.0000007191770954,1.0
260000,1.3746061,0.3737834,0.02046251,0.024202963,0.00029244085,0.19748026,9.773223e-05,None,2.1666675243112774,2.1666675243112774,1.0
270000,1.3731841,0.33553508,None,None,None,None,None,None,None,None,1.0
