Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
30000,0.48272082,51.71854,998.0357142857143,-0.7490357490522521,-0.7490357490522521,124.928276,0.036229286,9.973875e-05,0.1,9.9764875e-05,1.0
40000,0.35031527,47.4949,None,None,None,None,None,None,None,None,1.0
50000,0.3293567,40.812523,999.0,-1.0000000596046448,-1.0000000596046448,91.959435,0.018381838,9.959739e-05,0.1,9.963765e-05,1.0
60000,0.28368035,38.61423,999.0,-1.0000000596046448,-1.0000000596046448,68.3624,0.01971068,9.9458826e-05,0.1,9.951295e-05,1.0
70000,0.26163808,30.964857,None,None,None,38.91728,0.013047036,9.931739e-05,0.1,9.938565e-05,1.0
80000,0.25017852,28.77152,999.0,-0.7000000149011611,-0.7000000149011611,None,None,None,None,None,1.0
90000,0.39457121,25.212992,None,-0.777777804268731,-0.777777804268731,28.355894,0.01788294,9.917884e-05,0.1,9.926096e-05,1.0
100000,0.3483306,24.653845,None,None,None,24.500696,0.012146905,9.9037396e-05,0.1,9.9133664e-05,1.0
110000,0.3310726,23.460503,999.0,-0.47368417601836355,-0.47368417601836355,None,None,None,None,None,1.0
120000,0.23801146,20.854702,None,-0.5555555356873406,-0.5555555356873406,21.164587,0.017181661,9.889882e-05,0.1,9.900894e-05,1.0
130000,0.21203403,22.376364,None,None,None,19.286457,0.014205381,9.8757395e-05,0.1,9.888166e-05,1.0
140000,0.22377452,18.55788,999.0,-1.0000000596046448,-1.0000000596046448,16.621862,0.024917407,9.8618824e-05,0.1,9.875695e-05,1.0
150000,0.23127936,18.217926,None,None,None,None,None,None,None,None,1.0
160000,0.2286285,17.782017,None,None,None,13.879155,0.012864154,9.847738e-05,0.1,9.862965e-05,1.0
170000,0.21408841,19.48284,999.0,-1.0000000596046448,-1.0000000596046448,13.034198,0.015369611,9.833883e-05,0.1,9.8504956e-05,1.0
180000,0.20086458,21.21359,None,None,None,None,None,None,None,None,1.0
190000,0.14960074,20.42828,999.0,2.086162567138672e-07,2.086162567138672e-07,16.248262,0.013409166,9.8197386e-05,0.1,9.837766e-05,1.0
200000,0.21158966,21.663652,999.0,-0.538461474271921,-0.538461474271921,15.948162,0.025781307,9.805883e-05,0.1,9.825294e-05,1.0
210000,0.19668941,20.785347,None,None,None,14.561708,0.013250833,9.791739e-05,0.1,9.8125645e-05,1.0
220000,0.16287419,19.79976,999.0,-1.0000000596046448,-1.0000000596046448,None,None,None,None,None,1.0
230000,0.21831505,16.296856,None,-1.0000000596046448,-1.0000000596046448,14.286355,0.0158447,9.777883e-05,0.1,9.800095e-05,1.0
240000,0.20410453,15.016145,None,None,None,9.103295,0.012746405,9.763739e-05,0.1,9.787365e-05,1.0
250000,0.19679196,13.40625,999.0,-1.0000000596046448,-1.0000000596046448,None,None,None,None,None,1.0
260000,0.3118588,11.988234,None,-1.0000000596046448,-1.0000000596046448,7.029164,0.0139139,9.7498836e-05,0.1,9.774894e-05,1.0
270000,0.32816127,11.423255,None,None,None,6.660444,0.016823055,9.73574e-05,0.1,9.762166e-05,1.0
280000,0.2428846,9.58613,999.0,-1.0000000596046448,-1.0000000596046448,4.270597,0.039875142,9.721882e-05,0.1,9.749694e-05,1.0
290000,0.07094571,9.586971,None,None,None,None,None,None,None,None,1.0
