Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,0.8191769,10.80633,5.87281,0.022778025,0.00029856103,0.19952035,0.0009952515,998.0357142857143,-0.24903565591999463,-0.24903565591999463,1.0
40000,0.8011679,6.329043,1.5289754,0.020112226,0.000297953,0.19931765,0.0009932448,None,None,None,1.0
50000,0.7971433,4.3639226,0.6474704,0.01692074,0.00029730788,0.19910263,0.000991116,None,None,None,1.0
60000,0.79981786,3.551728,0.35897192,0.016496086,0.00029668582,0.19889526,0.0009890631,999.0,-0.8750000149011612,-0.8750000149011612,1.0
70000,0.7898176,3.2517474,0.3004696,0.028105415,0.00029605793,0.19868599,0.0009869913,None,None,None,1.0
80000,0.7825275,1.9555686,0.23466367,0.024127096,0.00029552035,0.19850679,0.0009852172,None,None,None,1.0
90000,0.77270967,0.88043475,0.08282751,0.021574268,0.00029500583,0.19833525,0.0009835191,999.0,-1.1249999962747097,-1.1249999962747097,1.0
100000,0.7356462,0.390089,0.013599501,0.022155777,0.00029437794,0.198126,0.0009814473,None,None,None,1.0
110000,0.73439145,0.17038667,0.008477763,0.021554016,0.00029373285,0.19791095,0.0009793184,999.0,-1.0000000521540642,-1.0000000521540642,1.0
120000,0.7462674,0.056709703,0.0077519044,0.018078454,0.0002931242,0.19770807,0.0009773099,None,-1.0000000521540642,-1.0000000521540642,1.0
130000,0.7493664,-0.012277355,0.006982817,0.026447086,0.0002924829,0.19749431,0.0009751937,None,None,None,1.0
140000,0.7535642,-0.049188398,0.0057249893,0.018540924,0.0002918474,0.19728248,0.0009730964,999.0,-1.0000000521540642,-1.0000000521540642,1.0
150000,0.7589588,-0.06120393,0.010308992,0.018665008,0.00029123298,0.19707768,0.0009710689,None,None,None,1.0
160000,0.7592238,-0.07494624,0.0043945415,0.023051735,0.0002906954,0.19689846,0.00096929487,None,None,None,1.0
170000,0.75591964,-0.08144719,0.004143689,0.020371053,0.0002901674,0.19672246,0.0009675525,999.0,-0.7499999813735485,-0.7499999813735485,1.0
180000,0.7493972,-0.09112047,0.0034356732,0.016205354,0.000289553,0.19651766,0.0009655249,None,None,None,1.0
190000,0.7636845,-0.10566936,0.002945019,0.025952226,0.00028890788,0.19630261,0.0009633961,None,None,None,1.0
200000,0.7929783,-0.0806005,0.012188275,0.01745659,0.0002882858,0.19609527,0.00096134323,999.0,-0.7499999813735485,-0.7499999813735485,1.0
210000,0.7975583,-0.05870572,0.0045699,0.027879626,0.00028765795,0.19588597,0.00095927133,None,None,None,1.0
220000,0.7825197,-0.08371168,0.0032611864,0.014994517,0.00028712035,0.19570678,0.00095749716,None,None,None,1.0
230000,0.74188656,-0.0593233,0.002876134,0.02768982,0.0002866058,0.19553526,0.0009557991,999.0,-0.7500000260770321,-0.7500000260770321,1.0
240000,0.72485465,-0.07432977,0.0024826147,0.01700241,0.00028597796,0.19532597,0.0009537272,None,None,None,1.0
250000,0.72880024,-0.09930678,0.0060567143,0.028772034,0.00028533282,0.19511096,0.0009515984,999.0,-0.7777778199977345,-0.7777778199977345,1.0
260000,0.73933524,-0.070975974,0.0035381021,0.03135054,0.0002847242,0.19490807,0.00094958994,None,-0.7368421456531474,-0.7368421456531474,1.0
