Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
30000,1.3809512,-0.012572346,0.0017986457,0.025671594,0.00029640258,0.19880085,0.0009881285,998.0357142857143,-0.7490357863051551,-0.7490357863051551,1.0
40000,1.3539711,-0.90432405,0.69828504,0.035946842,0.00029488245,0.19829416,0.0009831121,None,None,None,1.0
50000,1.3491788,-0.42225298,0.015742037,0.021131093,0.00029326967,0.19775657,0.00097779,None,None,None,1.0
60000,1.3665876,-0.16803269,0.0041666715,0.021292984,0.00029171447,0.19723815,0.00097265776,999.0,-0.6785715194419026,-0.6785715194419026,1.0
70000,1.3801798,-0.029228067,0.0006979061,0.01874666,0.00029014488,0.19671495,0.0009674781,None,None,None,1.0
80000,1.3841778,-0.037376724,0.0012025854,0.019350335,0.00028880086,0.19626695,0.0009630429,None,None,None,1.0
90000,1.3749895,-0.043479856,0.00060865114,0.021469885,0.0002875145,0.19583815,0.0009587978,999.0,-0.714285708963871,-0.714285708963871,1.0
100000,1.33613,-0.04032257,0.0014577593,0.020214079,0.00028594487,0.19531494,0.00095361815,None,None,None,1.0
110000,1.3083341,-0.046651404,0.00033791698,0.023001308,0.00028433208,0.19477735,0.0009482959,999.0,-0.6507937755021784,-0.6507937755021784,1.0
120000,1.280783,-0.0478021,0.0009153047,0.018511446,0.00028281048,0.19427015,0.00094327464,None,-0.4812031360833268,-0.4812031360833268,1.0
130000,1.3101562,-0.047639858,0.0009016052,0.015363406,0.00028120726,0.19373576,0.00093798403,None,None,None,1.0
140000,1.2383913,-0.042314798,0.0008471802,0.019694442,0.00027961846,0.19320615,0.000932741,999.0,-0.4285715203732252,-0.4285715203732252,1.0
150000,1.1990111,-0.037753448,0.001161019,0.019816328,0.00027808244,0.19269414,0.0009276722,None,None,None,1.0
160000,1.1740177,-0.03724424,0.0012927164,0.015705422,0.0002767385,0.19224615,0.00092323706,None,None,None,1.0
170000,1.2286855,-0.05401297,0.0012106001,0.019531777,0.00027541848,0.19180615,0.000918881,999.0,-0.42857151851058006,-0.42857151851058006,1.0
180000,1.1988692,-0.06808276,0.0009899203,0.021157747,0.00027388247,0.19129415,0.00091381214,None,None,None,1.0
190000,1.2053167,-0.068922415,0.0006524208,0.02332318,0.00027226968,0.19075656,0.00090849,None,None,None,1.0
200000,1.2390426,-0.067394584,0.0012452675,0.022267187,0.0002707145,0.19023816,0.0009033578,999.0,-0.7500000651925802,-0.7500000651925802,1.0
210000,1.2331549,-0.06523687,0.00043094615,0.023422852,0.00026914486,0.18971495,0.000898178,None,None,None,1.0
220000,1.2122082,-0.0765996,0.00035587576,0.025151134,0.00026780088,0.18926695,0.0008937429,None,None,None,1.0
230000,1.1813921,-0.0641195,0.00080901425,0.029098177,0.0002665145,0.18883817,0.0008894978,999.0,-0.642857194878161,-0.642857194878161,1.0
240000,1.1822194,-0.021935476,0.0010030862,0.01765203,0.00026494486,0.18831496,0.0008843181,None,None,None,1.0
250000,1.1931077,-0.056085728,0.00074029365,0.019765073,0.00026333207,0.18777736,0.0008789959,999.0,-0.47619060095813537,-0.47619060095813537,1.0
260000,1.228106,-0.06525898,0.0014091266,0.020241065,0.00026181046,0.18727016,0.0008739746,None,-0.5639098714056768,-0.5639098714056768,1.0
270000,1.2588526,-0.055337198,0.0003584771,0.025078049,0.00026020728,0.18673575,0.000868684,None,None,None,1.0
280000,1.2858196,-0.07276736,0.0003645577,0.026297865,0.00025861847,0.18620615,0.000863441,999.0,-0.5357143227010965,-0.5357143227010965,1.0
290000,1.291148,-0.053429224,0.002783764,0.028238976,0.0002570825,0.18569416,0.00085837225,None,None,None,1.0
300000,1.320403,-0.08898957,0.0009530267,0.015474398,0.00025573847,0.18524615,0.000853937,None,None,None,1.0
310000,1.1831164,-0.018404974,0.00019784714,0.02082214,0.00025441847,0.18480615,0.00084958103,999.0,-0.857142886146903,-0.857142886146903,1.0
320000,0.9830073,1.8709396,4.196512,0.019688522,0.00025288248,0.18429415,0.00084451213,None,None,None,1.0
330000,0.88608783,1.962485,0.30479956,0.021070914,0.00025126967,0.18375655,0.0008391899,None,None,None,1.0
340000,1.043653,0.7113508,0.08769611,0.021931956,0.00024971447,0.18323815,0.00083405775,999.0,-0.8214286752045155,-0.8214286752045155,1.0
350000,1.1127428,-0.06838438,0.0010222953,0.021133075,0.00024814485,0.18271495,0.0008288781,None,None,None,1.0
360000,1.1179721,-0.075273335,0.00087397767,0.021951694,0.0002468009,0.18226695,0.0008244429,None,None,None,1.0
370000,1.18467,-0.07477068,0.0011233189,0.018021168,0.00024551447,0.18183815,0.0008201978,999.0,-0.8214286742731929,-0.8214286742731929,1.0
380000,1.1910728,-0.07625658,0.0012679636,0.0181358,0.00024394487,0.18131495,0.0008150181,None,None,None,1.0
390000,1.1874592,-0.07049495,0.0007902536,0.027186275,0.00024233207,0.18077736,0.00080969586,999.0,-0.6984127168026235,-0.6984127168026235,1.0
400000,1.1851146,-0.0671681,0.002440757,0.021071011,0.00024081049,0.18027015,0.0008046746,None,-0.669172962833392,-0.669172962833392,1.0
410000,1.140457,-0.063480414,0.0011625559,0.01903712,0.0002392073,0.17973574,0.00079938397,None,None,None,1.0
420000,1.1362545,-0.06474377,0.0004322659,0.025607621,0.0002376185,0.17920615,0.0007941409,999.0,-0.2142858225852251,-0.2142858225852251,1.0
430000,1.1035099,-0.05624221,0.0021994333,0.0210289,0.00023608252,0.17869417,0.0007890722,None,None,None,1.0
440000,1.096782,-0.047814686,0.00071102614,0.017977407,0.0002348153,0.17827176,0.0007848904,None,None,None,1.0
450000,1.0459994,-0.045662623,0.0005857269,0.02175585,0.0002334185,0.17780614,0.00078028097,999.0,-0.17857153248041868,-0.17857153248041868,1.0
460000,1.0434546,-0.048925757,0.0027712772,0.022269377,0.00023188248,0.17729415,0.00077521213,None,None,None,1.0
470000,1.0189364,-0.044324677,0.00067902636,0.021006294,0.0002302697,0.17675656,0.0007698899,None,None,None,1.0
480000,0.9504926,-0.051104575,0.058797736,0.025077375,0.00022871449,0.17623813,0.0007647578,999.0,-0.5357144214212894,-0.5357144214212894,1.0
490000,0.99804807,-0.021682784,0.01157602,0.023156151,0.00022714488,0.17571495,0.00075957814,None,None,None,1.0
500000,1.0095624,-0.01984343,0.0004576188,0.01870121,0.00022580088,0.17526695,0.0007551429,None,None,None,1.0
510000,0.9700869,-0.026118925,0.0005208335,0.014540382,0.00022451452,0.17483814,0.00075089774,999.0,0.0714285271242261,0.0714285271242261,1.0
520000,0.8830823,-0.016144576,0.0023143578,0.016849736,0.0002229449,0.17431493,0.0007457181,None,None,None,1.0
530000,0.886994,-0.010339059,0.0013436307,0.017907985,0.00022133211,0.17377734,0.00074039586,999.0,0.44444429046577877,0.44444429046577877,1.0
540000,0.90397185,-0.0060530254,0.0032643685,0.018355586,0.0002198105,0.17327015,0.0007353746,None,-0.05263171854772066,-0.05263171854772066,1.0
550000,0.8547536,0.0069923615,0.0016054008,0.01820745,0.0002182073,0.17273575,0.000730084,None,None,None,1.0
560000,0.79961246,0.009519518,0.0014910315,0.022697218,0.00021661849,0.17220616,0.00072484097,999.0,0.2142856139689684,0.2142856139689684,1.0
570000,0.77989906,0.02288662,0.0037147983,0.023819095,0.0002150825,0.17169416,0.0007197722,None,None,None,1.0
580000,0.7850102,0.03632859,0.0016627174,0.014262323,0.0002137385,0.17124616,0.000715337,None,None,None,1.0
590000,0.7052127,0.036548402,0.0010327572,0.020978771,0.0002124185,0.17080615,0.00071098097,999.0,0.6428570412099361,0.6428570412099361,1.0
600000,0.64278644,0.04661153,0.0041553006,0.021301107,0.0002108825,0.17029415,0.0007059122,None,None,None,1.0
610000,0.6646123,0.055711202,0.0013137216,0.017831298,0.0002092697,0.16975658,0.0007005899,None,None,None,1.0
620000,0.65250564,0.049131926,0.0018894747,0.022569394,0.0002077145,0.16923815,0.00069545786,999.0,0.49999983329325914,0.49999983329325914,1.0
630000,0.5740953,0.06436091,0.0025139942,0.027171135,0.00020614492,0.16871496,0.0006902781,None,None,None,1.0
640000,0.5812603,0.065217376,0.0016241111,0.021761,0.00020480092,0.16826695,0.00068584294,None,None,None,1.0
650000,0.5709566,0.054505076,0.0016340483,0.022051813,0.00020351449,0.16783816,0.00068159774,999.0,0.6785711981356144,0.6785711981356144,1.0
660000,0.5546002,0.06326259,0.0023265637,0.03119564,0.00020195771,0.16731922,0.00067646033,None,None,None,1.0
670000,0.5654225,0.05442686,0.0018573613,0.027736867,0.0002003321,0.16677736,0.00067109586,999.0,0.4920635393096341,0.4920635393096341,1.0
680000,0.5723321,0.058913518,0.0043572807,0.020298311,0.00019881052,0.16627015,0.0006660745,None,0.6616540294336645,0.6616540294336645,1.0
690000,0.49327454,0.07474751,0.0021640444,0.015267287,0.00019720731,0.16573575,0.000660784,None,None,None,1.0
700000,0.5032703,0.07061132,0.0012801797,0.01804086,0.00019561849,0.16520615,0.00065554096,999.0,0.8214283622801304,0.8214283622801304,1.0
710000,0.49740803,0.09130144,0.0045225737,0.021828882,0.0001940825,0.16469416,0.0006504722,None,None,None,1.0
720000,0.48521748,0.0895807,0.001636728,0.019854482,0.0001927385,0.16424616,0.00064603693,None,None,None,1.0
730000,0.468259,0.058409903,0.0010201473,0.016373701,0.0001914185,0.16380616,0.00064168096,999.0,0.3928570058196783,0.3928570058196783,1.0
740000,0.43806002,0.070000306,0.0038100078,0.021356145,0.00018988251,0.16329415,0.0006366121,None,None,None,1.0
750000,0.45338377,0.09394869,0.0013616141,0.022246143,0.0001882697,0.16275655,0.0006312899,None,None,None,1.0
760000,0.44164303,0.06827788,0.0022398278,0.017619386,0.0001867145,0.16223815,0.00062615774,999.0,0.892856890335679,0.892856890335679,1.0
770000,0.4183702,0.11327844,0.003077482,0.018153021,0.0001851449,0.16171496,0.00062097807,None,None,None,1.0
780000,0.40769047,0.109225735,0.0017899023,0.017406337,0.0001838009,0.16126695,0.0006165429,None,None,None,1.0
790000,0.31689137,0.53484374,0.015515798,0.024110096,0.00018251453,0.16083816,0.00061229774,999.0,1.107142698019743,1.107142698019743,1.0
800000,0.24588701,0.6093693,0.024313727,0.022971233,0.00018094492,0.16031495,0.00060711807,None,None,None,1.0
810000,0.26598853,0.41843548,0.009091874,0.023200518,0.0001793321,0.15977734,0.0006017958,999.0,0.3015870841013061,0.3015870841013061,1.0
820000,0.25166512,0.48719233,0.014212641,0.021565797,0.0001778105,0.15927015,0.00059677457,None,0.33082693109386846,0.33082693109386846,1.0
830000,0.24559267,0.36117953,0.0067025553,0.020157529,0.00017620732,0.15873575,0.00059148396,None,None,None,1.0
840000,0.24595463,0.22067049,0.0026902093,0.02033432,0.00017461852,0.15820615,0.00058624096,999.0,0.6428571231663227,0.6428571231663227,1.0
