Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Is Training
5000,6.9261217,0.06867923,199.0,-3.583333636323611,-3.583333636323611,0.1156411,0.012432938,0.0002995254,0.1998418,0.0009984339,1.0
10000,6.9119983,-0.571582,199.0,-3.3200002932548522,-3.3200002932548522,0.08295935,0.024721151,0.0002988954,0.19963181,0.0009963547,1.0
15000,6.9041405,-1.1590501,199.0,-3.4800002908706666,-3.4800002908706666,0.06651667,0.018389022,0.00029810725,0.19936907,0.0009937538,1.0
20000,6.895343,-1.4440315,199.0,-3.7200003719329833,-3.7200003719329833,0.05962824,0.011233609,0.00029732042,0.1991068,0.0009911574,1.0
25000,6.849176,-1.7020308,199.0,-4.1200005197525025,-4.1200005197525025,0.03788092,0.01748344,0.0002966904,0.1988968,0.0009890783,1.0
30000,6.861206,-1.8444995,199.0,-4.360000581741333,-4.360000581741333,0.031928968,0.01569538,0.00029590362,0.19863455,0.000986482,1.0
35000,6.8176017,-1.9442929,199.0,-3.560000219345093,-3.560000219345093,0.046970367,0.02159265,0.0002951154,0.19837181,0.0009838811,1.0
40000,6.740889,-1.8988068,199.0,-3.2400002026557924,-3.2400002026557924,0.05611605,0.019554524,0.00029432724,0.19810908,0.0009812798,1.0
45000,6.627953,-1.8726106,199.0,-3.0000000953674317,-3.0000000953674317,0.07175461,0.018323217,0.00029354042,0.1978468,0.0009786835,1.0
50000,6.5302258,-1.7636393,199.0,-3.4400003361701965,-3.4400003361701965,0.059655167,0.011283388,0.0002929104,0.19763681,0.0009766044,1.0
55000,6.3929896,-1.7868228,199.0,-3.200000162124634,-3.200000162124634,0.06022583,0.021993844,0.00029212362,0.19737454,0.00097400794,1.0
60000,6.284898,-1.757605,199.0,-2.8400000667572023,-2.8400000667572023,0.07820417,0.015035834,0.0002913354,0.1971118,0.00097140693,1.0
65000,6.2046237,-1.7025938,199.0,-2.639999966621399,-2.639999966621399,0.07415601,0.009950339,0.00029070544,0.1969018,0.0009693279,1.0
70000,6.124314,-1.6962641,199.0,-3.000000150203705,-3.000000150203705,0.063479125,0.012846421,0.00028991723,0.19663908,0.00096672686,1.0
75000,6.129758,-1.6904747,199.0,-2.8400000405311583,-2.8400000405311583,0.06525085,0.020754848,0.0002891304,0.1963768,0.00096413033,1.0
80000,6.0369697,-1.6511585,199.0,-2.4800000834465026,-2.4800000834465026,0.09811159,0.020111125,0.0002883436,0.19611454,0.000961534,1.0
85000,5.9972725,-1.5711021,199.0,-2.9600001168251038,-2.9600001168251038,0.07338302,0.017327165,0.0002875554,0.1958518,0.0009589329,1.0
90000,6.0258217,-1.5367117,199.0,-2.880000078678131,-2.880000078678131,0.070671335,0.01760972,0.00028692544,0.19564182,0.0009568539,1.0
95000,5.924047,-1.5543329,199.0,-1.839999737739563,-1.839999737739563,0.093657605,0.01330553,0.00028613722,0.19537906,0.00095425284,1.0
100000,5.881867,-1.4909116,199.0,-2.2399998927116394,-2.2399998927116394,0.09680508,0.01575838,0.0002853504,0.1951168,0.00095165643,1.0
