Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,9.686731,-0.02415858,0.048559956,0.01741361,0.00029912675,0.19970892,0.0009971183,998.625,-5.934874575585127,-5.934874575585127,1.0
20000,9.612507,-0.3687142,0.010086637,0.022584874,0.00029763166,0.19921057,0.0009921845,999.0,-6.208332799375057,-6.208332799375057,1.0
30000,9.354767,-0.52169704,0.017942432,0.018736228,0.00029613168,0.19871055,0.0009872344,999.0,-5.0624994076788425,-5.0624994076788425,1.0
40000,9.139653,-0.48931655,0.016618473,0.016181283,0.00029463167,0.19821055,0.0009822845,999.0,-5.041666314005852,-5.041666314005852,1.0
50000,9.122393,-0.506729,0.013470185,0.015320053,0.00029313168,0.19771056,0.0009773344,999.0,-5.562499258667231,-5.562499258667231,1.0
60000,9.092995,-0.5576056,0.009582593,0.0250766,0.00029163167,0.19721055,0.0009723845,999.0,-5.958332886298497,-5.958332886298497,1.0
70000,9.176861,-0.5947056,0.007913453,0.024622634,0.00029013166,0.19671056,0.00096743455,999.0,-6.499999649822712,-6.499999649822712,1.0
80000,9.111525,-0.6071967,0.0063369665,0.01627306,0.00028863168,0.19621056,0.00096248457,999.0,-6.333332757155101,-6.333332757155101,1.0
90000,9.101005,-0.56823355,0.013444551,0.018564578,0.00028713167,0.19571055,0.0009575346,999.0,-5.499999649822712,-5.499999649822712,1.0
100000,9.06556,-0.5686905,0.014745062,0.022043291,0.0002856317,0.19521053,0.00095258455,999.0,-5.333332506318887,-5.333332506318887,1.0
110000,9.058783,-0.57085663,0.014071969,0.022073722,0.00028413165,0.19471055,0.0009476346,999.0,-5.874999418854713,-5.874999418854713,1.0
120000,8.961517,-0.5661745,0.013041936,0.0156067815,0.0002826317,0.19421057,0.00094268454,999.0,-5.166665978729725,-5.166665978729725,1.0
130000,8.851077,-0.53781337,0.015096412,0.017503176,0.00028113168,0.19371055,0.00093773456,999.0,-5.124999437481165,-5.124999437481165,1.0
140000,8.769058,-0.54856235,0.015675958,0.017109737,0.00027963167,0.19321054,0.0009327845,999.0,-5.166666199763616,-5.166666199763616,1.0
150000,8.568215,-0.52832144,0.017917715,0.020508721,0.0002781317,0.19271055,0.00092783454,999.0,-4.562499418854713,-4.562499418854713,1.0
160000,8.452177,-0.49054936,0.019967504,0.013374742,0.00027663168,0.19221056,0.00092288456,999.0,-4.458332630495231,-4.458332630495231,1.0
170000,8.433454,-0.46668378,0.014095474,0.021092849,0.00027513166,0.19171055,0.0009179345,999.0,-5.499999608844519,-5.499999608844519,1.0
180000,8.35327,-0.49327534,0.01840478,0.022784613,0.00027363168,0.19121055,0.0009129846,999.0,-4.791665896773338,-4.791665896773338,1.0
190000,8.384499,-0.4972556,0.012821579,0.0142094325,0.00027213167,0.19071056,0.00090803456,999.0,-5.562499649822712,-5.562499649822712,1.0
200000,8.24701,-0.5485372,0.010896553,0.019417621,0.00027063166,0.19021054,0.0009030845,999.0,-5.708332948386669,-5.708332948386669,1.0
210000,8.149496,-0.56281626,0.013002993,0.018501822,0.0002691317,0.18971054,0.00089813455,999.0,-5.874999303370714,-5.874999303370714,1.0
220000,7.9872437,-0.5441951,0.012855799,0.019831965,0.00026763164,0.18921056,0.0008931845,999.0,-4.958332573374112,-4.958332573374112,1.0
230000,8.044754,-0.5398351,0.015211207,0.01796723,0.00026613168,0.18871056,0.0008882345,999.0,-5.312499206513166,-5.312499206513166,1.0
