Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3547354,-0.035473414,0.004207921,0.024756573,0.0002990844,0.1996948,0.0009969785,998.05,-0.2490497961640358,-0.2490497961640358,1.0
30000,1.293487,0.011396011,0.023156337,0.02413156,0.00029849398,0.19949798,0.00099503,None,None,None,1.0
40000,1.2797822,0.019658899,0.007778769,0.019969601,0.0002978853,0.1992951,0.0009930215,999.0,0.25000041350722313,0.25000041350722313,1.0
50000,1.29651,-0.0019578983,0.021398962,0.015411746,0.00029729397,0.19909799,0.0009910701,None,None,None,1.0
60000,1.2738649,-0.010762424,0.013729935,0.015927458,0.0002966853,0.19889511,0.0009890615,999.0,0.12500041164457798,0.12500041164457798,1.0
70000,1.1745524,0.0018851423,0.014605629,0.020395525,0.00029609396,0.19869798,0.0009871101,None,None,None,1.0
80000,1.0315908,0.020643085,0.012078535,0.016221158,0.0002954853,0.1984951,0.0009851016,999.0,0.750000074505806,0.750000074505806,1.0
90000,0.9464411,0.053452656,0.023327896,0.020862,0.00029489395,0.19829798,0.0009831501,None,None,None,1.0
100000,0.97666115,0.0976214,0.018530603,0.018274125,0.00029428533,0.1980951,0.0009811416,999.0,2.000000586733222,2.000000586733222,1.0
110000,0.9547408,0.13782702,0.023466254,0.015777698,0.00029369394,0.19789799,0.0009791901,None,None,None,1.0
120000,0.99119586,0.15120995,0.03154085,0.0155197885,0.00029308532,0.1976951,0.0009771816,999.0,2.3750007301568985,2.3750007301568985,1.0
130000,0.86956424,0.23098838,0.032084968,0.015501697,0.00029249396,0.19749801,0.00097523007,None,None,None,1.0
140000,0.8207547,0.30330807,0.040034138,0.020703174,0.0002918853,0.19729511,0.00097322155,999.0,4.1250009052455425,4.1250009052455425,1.0
150000,0.9427673,0.4367219,0.1106914,0.022469206,0.00029129398,0.19709797,0.0009712701,None,None,None,1.0
160000,0.9432347,0.5907185,0.051100664,0.018248461,0.0002906853,0.1968951,0.0009692616,999.0,7.50000162795186,7.50000162795186,1.0
170000,0.9193842,0.69136363,0.20725529,0.013985254,0.00029009397,0.196698,0.0009673101,None,None,None,1.0
180000,0.99196273,0.76674813,0.07097775,0.01535064,0.0002894853,0.1964951,0.0009653016,999.0,10.250001655891538,10.250001655891538,1.0
190000,0.9894938,1.0777817,0.19055541,0.014987599,0.00028889396,0.19629796,0.0009633501,None,None,None,1.0
