Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,9.674966,0.0037158702,0.018642424,0.012916727,0.00029965068,0.19988355,0.0004994295,998.625,-0.24962476547807455,-0.24962476547807455,1.0
20000,9.600321,0.015806453,0.010422172,0.022327632,0.00029905266,0.19968422,0.00049845275,999.0,0.12500029305617014,0.12500029305617014,1.0
30000,9.598551,-0.0020333792,0.013358705,0.01703432,0.00029845265,0.19948423,0.0004974727,999.0,-0.12499962653964758,-0.12499962653964758,1.0
40000,9.569285,-0.0037810619,0.015837444,0.015185204,0.00029785268,0.19928423,0.00049649266,999.0,0.2500003216167291,0.2500003216167291,1.0
50000,9.388277,0.028546445,0.01459966,0.014796497,0.0002972527,0.19908422,0.0004955127,999.0,0.6875002719461918,0.6875002719461918,1.0
60000,9.254104,0.028531931,0.010183525,0.018458232,0.0002966527,0.19888422,0.0004945327,999.0,3.135452667872111e-07,3.135452667872111e-07,1.0
70000,9.426945,0.02289959,0.015827045,0.01672757,0.0002960527,0.19868422,0.0004935527,999.0,0.3125002346932888,0.3125002346932888,1.0
80000,9.450221,0.0032573843,0.009808201,0.016485972,0.0002954527,0.19848421,0.0004925727,999.0,1.8067657947540283e-07,1.8067657947540283e-07,1.0
90000,9.369726,0.008207081,0.009791745,0.0136264,0.0002948527,0.19828422,0.0004915927,999.0,-0.18749984167516232,-0.18749984167516232,1.0
100000,9.277892,0.010700921,0.010582729,0.017762668,0.00029425268,0.19808422,0.00049061276,999.0,0.5000002812594175,0.5000002812594175,1.0
110000,9.374583,-0.020049037,0.012253675,0.017451325,0.0002936527,0.19788422,0.00048963266,999.0,0.25000014901161194,0.25000014901161194,1.0
120000,9.266385,-0.025030933,0.009315976,0.02419978,0.00029305267,0.19768421,0.0004886527,999.0,3.2782554626464844e-07,3.2782554626464844e-07,1.0
130000,9.216302,-0.024670875,0.014685372,0.022999162,0.0002924527,0.19748423,0.00048767266,999.0,0.25000035483390093,0.25000035483390093,1.0
140000,9.08033,0.04515036,0.014948766,0.02505819,0.00029185266,0.19728422,0.00048669268,999.0,1.0000003576278687,1.0000003576278687,1.0
150000,8.940642,0.036880646,0.017565856,0.022694686,0.00029125268,0.19708422,0.00048571266,999.0,0.437500330619514,0.437500330619514,1.0
160000,8.791057,0.039042324,0.010934572,0.015928946,0.00029065265,0.19688423,0.00048473268,999.0,0.08333359596629937,0.08333359596629937,1.0
170000,8.911651,0.04143463,0.021034066,0.025552463,0.00029005267,0.19668423,0.00048375266,999.0,0.687500299885869,0.687500299885869,1.0
180000,8.853909,0.11201852,0.023083266,0.015222928,0.00028945264,0.19648422,0.00048277268,999.0,2.2500006705522537,2.2500006705522537,1.0
190000,8.783096,0.17311962,0.026634252,0.01800999,0.00028885267,0.19628422,0.00048179267,999.0,2.125000597909093,2.125000597909093,1.0
200000,8.731001,0.1659319,0.021140767,0.017744606,0.00028825266,0.19608422,0.00048081265,999.0,1.4583337648461263,1.4583337648461263,1.0
210000,8.473641,0.16874228,0.02192103,0.019710641,0.0002876527,0.19588423,0.0004798327,999.0,1.9375004954636097,1.9375004954636097,1.0
220000,8.501625,0.13039356,0.017336085,0.01798531,0.00028705268,0.19568422,0.0004788527,999.0,0.7916672974824905,0.7916672974824905,1.0
230000,8.341362,0.20471771,0.031913847,0.021271316,0.0002864527,0.19548424,0.00047787267,999.0,2.1875007366761565,2.1875007366761565,1.0
240000,8.301806,0.24751273,0.026729155,0.019630363,0.0002858527,0.19528422,0.0004768927,999.0,2.0000007394701242,2.0000007394701242,1.0
250000,8.195723,0.29346585,0.032011405,0.018334687,0.0002852527,0.19508421,0.00047591268,999.0,2.8125008372589946,2.8125008372589946,1.0
260000,7.965891,0.45268413,0.04621028,0.02133164,0.0002846527,0.19488423,0.00047493266,999.0,4.458334296320875,4.458334296320875,1.0
270000,8.001009,0.50544083,0.041766457,0.022480542,0.0002840527,0.19468422,0.00047395265,999.0,4.250001048669219,4.250001048669219,1.0
280000,8.116025,0.41913605,0.03942454,0.022756891,0.00028345268,0.19448423,0.00047297266,999.0,4.041667764385541,4.041667764385541,1.0
290000,8.228669,0.41726753,0.036178626,0.020005729,0.00028285268,0.19428422,0.00047199265,999.0,4.000001110136509,4.000001110136509,1.0
300000,8.077914,0.4097256,0.040122077,0.020917863,0.00028225267,0.19408423,0.0004710127,999.0,4.250000944981973,4.250000944981973,1.0
310000,7.790563,0.48301247,0.052996855,0.013599872,0.00028165267,0.19388422,0.00047003265,999.0,5.87500143237412,5.87500143237412,1.0
320000,7.6163826,0.65261805,0.050830606,0.01824788,0.00028105266,0.19368422,0.0004690527,999.0,6.5000013044724865,6.5000013044724865,1.0
330000,7.4221,0.75772846,0.056069415,0.022240965,0.00028045266,0.19348422,0.00046807266,999.0,7.18750150129199,7.18750150129199,1.0
340000,7.605912,0.67305255,0.04166513,0.014809117,0.00027985268,0.19328423,0.00046709264,999.0,6.833334699273109,6.833334699273109,1.0
350000,7.4902954,0.841565,0.08831422,0.020918634,0.00027925268,0.19308423,0.0004661127,999.0,9.875001809559762,9.875001809559762,1.0
360000,7.722353,0.90366703,0.06601671,0.01982736,0.00027865267,0.19288422,0.00046513267,999.0,8.250001608083645,8.250001608083645,1.0
370000,7.4973135,0.9176832,0.07508939,0.018267581,0.0002780527,0.19268422,0.00046415266,999.0,8.750001392327249,8.750001392327249,1.0
380000,7.23451,0.89208853,0.07247053,0.022989081,0.0002774527,0.19248421,0.00046317268,999.0,10.375001570830742,10.375001570830742,1.0
390000,7.051519,1.0426162,0.07537657,0.017425561,0.0002768527,0.19228423,0.00046219266,999.0,9.375001528300345,9.375001528300345,1.0
400000,7.293879,1.0640918,0.07807184,0.03534994,0.0002762527,0.19208422,0.00046121265,999.0,10.750001596286893,10.750001596286893,1.0
410000,7.4675264,1.0363045,0.08329463,0.03472177,0.00027565268,0.19188423,0.00046023267,999.0,9.187501717358828,9.187501717358828,1.0
420000,8.2738905,0.8669767,0.0646537,0.0317608,0.0002750527,0.19168422,0.00045925268,999.0,7.541667961825927,7.541667961825927,1.0
430000,8.425199,0.8120097,0.059114352,0.021618081,0.00027445267,0.19148421,0.00045827267,999.0,6.375001089647412,6.375001089647412,1.0
440000,7.965563,0.8290956,0.07026403,0.024759173,0.0002738527,0.19128422,0.00045729266,999.0,7.875001459072034,7.875001459072034,1.0
450000,7.888828,0.87080973,0.065662414,0.016986238,0.00027325266,0.19108422,0.00045631267,999.0,7.812501390464604,7.812501390464604,1.0
460000,7.8357396,0.8338005,0.08601661,0.022151485,0.0002726527,0.19088423,0.0004553327,999.0,9.083334724108378,9.083334724108378,1.0
470000,7.398784,1.0819932,0.1045398,0.017236179,0.00027205268,0.19068421,0.00045435267,999.0,7.937501355074346,7.937501355074346,1.0
480000,7.177509,0.9351583,0.07241961,0.019616652,0.00027145268,0.19048423,0.0004533727,999.0,9.125001441066464,9.125001441066464,1.0
490000,7.2455897,1.161592,0.08521945,0.01321019,0.00027085267,0.19028422,0.00045239268,999.0,11.062501496635377,11.062501496635377,1.0
500000,7.5146775,1.0909369,0.062110435,0.017833302,0.00027025267,0.19008422,0.00045141266,999.0,9.083334976807237,9.083334976807237,1.0
510000,7.424207,1.1402861,0.07746211,0.029443692,0.00026965266,0.18988422,0.00045043268,999.0,9.687501507811248,9.687501507811248,1.0
520000,7.101549,1.112478,0.07516631,0.024099855,0.0002690527,0.18968423,0.00044945267,999.0,12.291668521240354,12.291668521240354,1.0
530000,6.810967,1.286033,0.09107518,0.020670364,0.00026845268,0.18948422,0.00044847268,999.0,11.56250150129199,11.56250150129199,1.0
540000,6.728176,1.1295631,0.07396081,0.020937499,0.00026785268,0.18928422,0.00044749267,999.0,11.333334989845753,11.333334989845753,1.0
550000,6.4857216,1.1207508,0.09216254,0.026075901,0.0002672527,0.18908422,0.00044651265,999.0,11.937502191402018,11.937502191402018,1.0
560000,6.604894,1.1793771,0.09749326,0.026151551,0.0002666527,0.18888423,0.00044553267,999.0,10.958334982395172,10.958334982395172,1.0
570000,6.005402,1.0758045,0.097863175,0.024706252,0.0002660527,0.18868423,0.00044455266,999.0,12.812501415610313,12.812501415610313,1.0
580000,5.475503,1.1784607,0.09447399,0.019691953,0.0002654527,0.18848422,0.00044357267,999.0,12.583335316429535,12.583335316429535,1.0
