Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.385254,-0.022228004,0.0040007494,0.0142816575,0.0002990844,0.1996948,0.0009969785,998.05,0.375950300693512,0.375950300693512,1.0
30000,1.3680384,-0.061225634,0.0060434584,0.017299628,0.00029849398,0.19949798,0.00099503,None,None,None,1.0
40000,1.3725324,0.014461074,0.015137496,0.019148005,0.0002978853,0.1992951,0.0009930215,999.0,2.1979212760925293e-07,2.1979212760925293e-07,1.0
50000,1.3819958,-0.015651599,0.007684414,0.022901779,0.00029729397,0.19909799,0.0009910701,None,None,None,1.0
60000,1.3687905,-0.054579727,0.007903868,0.01868937,0.0002966853,0.19889511,0.0009890615,999.0,-0.4999998193234205,-0.4999998193234205,1.0
70000,1.2992587,0.038731918,0.026736215,0.022032505,0.00029609396,0.19869798,0.0009871101,None,None,None,1.0
80000,1.2812458,0.01721405,0.006954958,0.018256845,0.0002954853,0.1984951,0.0009851016,999.0,0.12500013038516045,0.12500013038516045,1.0
90000,1.278346,-0.0015529391,0.0043853577,0.0106453085,0.00029489395,0.19829798,0.0009831501,None,None,None,1.0
100000,1.2504891,0.0077464078,0.022020545,0.015172234,0.00029428533,0.1980951,0.0009811416,999.0,0.8750002253800631,0.8750002253800631,1.0
110000,1.097584,0.12127983,0.030460939,0.017694896,0.00029369394,0.19789799,0.0009791901,None,None,None,1.0
120000,1.0523309,0.30930144,0.050880592,0.019689828,0.00029308532,0.1976951,0.0009771816,999.0,3.8750005681067705,3.8750005681067705,1.0
130000,1.0552821,0.36431035,0.09975142,0.019201368,0.00029249396,0.19749801,0.00097523007,None,None,None,1.0
140000,1.0838703,0.595065,0.05972593,0.020966548,0.0002918853,0.19729511,0.00097322155,999.0,8.25000180117786,8.25000180117786,1.0
150000,1.184291,0.70682776,0.1237442,0.021078661,0.00029129398,0.19709797,0.0009712701,None,None,None,1.0
160000,1.2070122,0.6972406,0.046603467,0.022766382,0.0002906853,0.1968951,0.0009692616,999.0,7.750001486390829,7.750001486390829,1.0
170000,1.1498746,0.87269413,0.16146763,0.015894702,0.00029009397,0.196698,0.0009673101,None,None,None,1.0
180000,1.1357751,0.80337393,0.05115978,0.023390237,0.0002894853,0.1964951,0.0009653016,999.0,9.500001780688763,9.500001780688763,1.0
190000,1.134757,0.87630063,0.14105357,0.0157193,0.00028889396,0.19629796,0.0009633501,None,None,None,1.0
200000,1.0660056,1.012542,0.07499273,0.016507609,0.0002882853,0.1960951,0.0009613416,999.0,10.750001596286893,10.750001596286893,1.0
210000,0.98316395,1.1006013,0.17153788,0.016603682,0.00028769395,0.19589798,0.0009593901,None,None,None,1.0
220000,0.8945798,1.1317954,0.07352191,0.02564643,0.00028708534,0.19569512,0.0009573816,999.0,12.500002402812243,12.500002402812243,1.0
230000,0.8046833,1.3303825,0.3101674,0.020342307,0.00028649395,0.19549799,0.0009554301,None,None,None,1.0
240000,0.7672929,1.0504298,0.042475857,0.01733404,0.00028588533,0.19529511,0.00095342164,999.0,13.750002354383469,13.750002354383469,1.0
250000,0.656743,1.1361511,0.27388725,0.017116368,0.00028529394,0.19509798,0.0009514701,None,None,None,1.0
260000,0.6621112,1.3648049,0.08256791,0.017414335,0.00028468535,0.1948951,0.0009494616,999.0,17.500003170222044,17.500003170222044,1.0
270000,0.62638485,1.4900188,0.32889614,0.02761142,0.00028409393,0.19469798,0.0009475101,None,None,None,1.0
280000,0.6677476,1.304135,0.07853074,0.020936111,0.00028348534,0.1944951,0.00094550167,999.0,15.875001573935151,15.875001573935151,1.0
290000,0.676774,1.3347204,0.1964203,0.01407602,0.00028289398,0.19429798,0.00094355014,None,None,None,1.0
300000,0.62563694,1.1226757,0.0752401,0.023702644,0.00028228533,0.1940951,0.0009415416,999.0,12.250002646818757,12.250002646818757,1.0
310000,0.68947417,1.2917631,0.23739661,0.015913498,0.00028169397,0.193898,0.0009395901,None,None,None,1.0
320000,0.5697624,1.2305949,0.089178585,0.021045508,0.00028108532,0.19369511,0.00093758164,999.0,15.125001361593604,15.125001361593604,1.0
330000,0.48005655,1.6190069,0.298783,0.0183414,0.00028049396,0.19349797,0.0009356301,None,None,None,1.0
340000,0.46749857,1.5449094,0.08265389,0.018592918,0.0002798853,0.19329509,0.00093362154,999.0,18.750002710148692,18.750002710148692,1.0
350000,0.47415662,1.6522791,0.24429786,0.014357429,0.00027929398,0.193098,0.00093167013,None,None,None,1.0
360000,0.48970672,1.4737656,0.07736117,0.016151678,0.0002786853,0.1928951,0.00092966156,999.0,16.37500183098018,16.37500183098018,1.0
370000,0.49512365,1.4184487,0.29834333,0.028541163,0.00027809397,0.19269796,0.00092771015,None,None,None,1.0
380000,0.5125017,1.2336777,0.08038435,0.01741479,0.0002774853,0.19249511,0.0009257016,999.0,15.625002039596438,15.625002039596438,1.0
390000,0.49285743,1.5327358,0.33054247,0.014444304,0.00027689396,0.192298,0.00092375017,None,None,None,1.0
400000,0.4361011,1.46949,0.089789145,0.021402473,0.00027628534,0.19209512,0.0009217416,999.0,18.000002732500434,18.000002732500434,1.0
410000,0.4081599,1.5531989,0.20831059,0.011169006,0.00027569395,0.19189799,0.00091979007,None,None,None,1.0
420000,0.4391686,1.6459516,0.086445555,0.021841269,0.00027508533,0.19169511,0.0009177816,999.0,18.625002471730113,18.625002471730113,1.0
430000,0.46265182,1.6625315,0.20988105,0.027162464,0.00027449397,0.19149798,0.0009158301,None,None,None,1.0
440000,0.4026865,1.669905,0.079934835,0.0249103,0.00027388532,0.1912951,0.0009138216,999.0,17.125001871958375,17.125001871958375,1.0
450000,0.38151368,1.678789,0.24512427,0.024167381,0.00027329396,0.19109797,0.0009118701,None,None,None,1.0
460000,0.339009,1.6043848,0.070591256,0.015942369,0.0002726853,0.1908951,0.00090986164,999.0,17.50000254996121,17.50000254996121,1.0
470000,0.4061342,1.617275,0.34603348,0.016507255,0.00027209395,0.19069798,0.0009079101,None,None,None,1.0
480000,0.40592283,1.6722677,0.07614573,0.023980627,0.0002714853,0.1904951,0.00090590154,999.0,19.250002421438694,19.250002421438694,1.0
490000,0.37492222,1.6606236,0.22812928,0.021220556,0.00027089397,0.190298,0.0009039501,None,None,None,1.0
500000,0.3626813,1.5993022,0.07902599,0.019010397,0.0002702853,0.19009511,0.00090194156,999.0,17.750002559274435,17.750002559274435,1.0
510000,0.39669588,1.7138343,0.33157262,0.01410051,0.00026969396,0.18989797,0.0008999901,None,None,None,1.0
520000,0.3889048,1.4784048,0.07452704,0.018487332,0.00026908529,0.18969509,0.0008979816,999.0,18.000001972541213,18.000001972541213,1.0
530000,0.35134527,1.6197724,0.3672824,0.012040009,0.00026849398,0.18949799,0.0008960301,None,None,None,1.0
540000,0.2902856,1.4246247,0.074805826,0.015364254,0.00026788533,0.1892951,0.0008940216,999.0,17.750002041459084,17.750002041459084,1.0
550000,0.21295124,1.7506708,0.38057634,0.018341875,0.00026729397,0.18909799,0.0008920701,None,None,None,1.0
560000,0.22171654,1.6839981,0.073663354,0.018871572,0.00026668533,0.1888951,0.0008900616,999.0,20.750002706423402,20.750002706423402,1.0
570000,0.21577482,1.6829767,0.33441368,0.0261051,0.00026609396,0.188698,0.00088811014,None,None,None,1.0
580000,0.18815108,1.6819355,0.104397014,0.029641088,0.00026548535,0.18849511,0.0008861016,999.0,20.750002462416887,20.750002462416887,1.0
590000,0.17905231,1.9123489,0.3088864,0.017689055,0.00026489396,0.18829799,0.0008841501,None,None,None,1.0
600000,0.17977339,1.7929806,0.111555316,0.02012885,0.00026429497,0.18809831,0.0008821733,946.75,19.052252359688282,19.052252359688282,1.0
610000,0.19730218,1.8795176,0.23515585,0.017608581,0.00026364147,0.18788049,0.0008800168,None,None,None,1.0
620000,0.17310432,1.7368513,0.100636095,0.016342087,0.0002630362,0.18767874,0.00087801943,998.8,19.625203024595976,19.625203024595976,1.0
630000,0.19740362,1.9199,0.19617397,0.015508604,0.00026244172,0.18748057,0.00087605766,None,None,None,1.0
640000,0.22119488,1.8701752,0.16142428,0.0180293,0.0002618363,0.18727875,0.0008740598,999.0,21.000002017244697,21.000002017244697,1.0
650000,0.2147999,2.0035007,0.23592964,0.022805793,0.00026124172,0.18708056,0.0008720976,None,None,None,1.0
660000,0.21807943,1.8610965,0.10822652,0.016954428,0.00026063633,0.18687877,0.0008700999,999.0,20.250002766028047,20.250002766028047,1.0
670000,0.17757611,2.0707924,0.2205041,0.017856523,0.0002600417,0.18668056,0.00086813763,None,None,None,1.0
680000,0.17680223,1.8340172,0.11468246,0.012486478,0.00025943632,0.18647876,0.00086613983,999.0,20.87500195391476,20.87500195391476,1.0
690000,0.17053857,1.9625006,0.2460409,0.024668926,0.0002588417,0.18628056,0.00086417765,None,None,None,1.0
700000,0.17313148,1.7353214,0.08101556,0.014866697,0.0002582363,0.18607876,0.0008621798,999.0,18.000002086162567,18.000002086162567,1.0
710000,0.16178,1.6220971,0.1897583,0.014625511,0.0002576417,0.18588057,0.00086021767,None,None,None,1.0
720000,0.16522373,1.7012602,0.11220846,0.02641028,0.0002570363,0.18567877,0.0008582198,999.0,18.25000261887908,18.25000261887908,1.0
730000,0.18959683,1.916043,0.21882695,0.020908255,0.00025644168,0.18548056,0.0008562576,None,None,None,1.0
740000,0.16419926,1.8607606,0.10974674,0.019817505,0.00025583632,0.18527876,0.0008542598,999.0,20.250002447515726,20.250002447515726,1.0
750000,0.14902282,1.9419537,0.21227372,0.01670227,0.0002552417,0.18508056,0.00085229764,None,None,None,1.0
760000,0.124212496,1.8669899,0.09421432,0.013857372,0.0002546363,0.18487877,0.0008502998,999.0,20.50000155158341,20.50000155158341,1.0
770000,0.1324284,1.9545754,0.278648,0.018314268,0.00025404172,0.18468055,0.00084833766,None,None,None,1.0
780000,0.12663351,1.7316527,0.1076374,0.016443945,0.0002534363,0.18447876,0.00084633986,999.0,21.00000284984708,21.00000284984708,1.0
790000,0.13430348,2.0790873,0.22966681,0.022307688,0.0002528417,0.18428056,0.0008443776,None,None,None,1.0
800000,0.13246228,1.9110563,0.117292166,0.0132577885,0.0002522363,0.18407878,0.0008423798,999.0,21.000002907589078,21.000002907589078,1.0
810000,0.1209073,2.0298235,0.21317172,0.023498917,0.00025164173,0.18388057,0.0008404177,None,None,None,1.0
820000,0.11736743,1.870622,0.12078084,0.02058944,0.00025103628,0.18367876,0.00083841983,999.0,20.250002417713404,20.250002417713404,1.0
830000,0.11233683,1.9236507,0.24066132,0.01581037,0.00025044172,0.18348056,0.00083645765,None,None,None,1.0
840000,0.095676094,1.9037457,0.1326327,0.030086925,0.00024983627,0.18327877,0.00083445985,999.0,21.000002359971404,21.000002359971404,1.0
850000,0.12169475,1.9911417,0.24878961,0.012318465,0.0002492417,0.18308055,0.0008324976,None,None,None,1.0
860000,0.1204556,1.8674085,0.12199557,0.015328445,0.0002486363,0.18287876,0.00083049986,999.0,19.500002168118954,19.500002168118954,1.0
870000,0.11035039,1.8987436,0.18686092,0.021407532,0.0002480417,0.18268056,0.0008285376,None,None,None,1.0
880000,0.10798226,1.7849369,0.12630121,0.03508096,0.0002474363,0.18247876,0.0008265398,999.0,19.500001784414053,19.500001784414053,1.0
890000,0.109444074,1.9395046,0.20773874,0.019090893,0.0002468417,0.18228057,0.00082457764,None,None,None,1.0
900000,0.10798855,1.696566,0.103047594,0.017306035,0.0002462363,0.18207876,0.0008225798,999.0,19.000002020969987,19.000002020969987,1.0
910000,0.11264681,1.837177,0.21488245,0.014100082,0.00024564168,0.18188056,0.0008206176,None,None,None,1.0
920000,0.0981353,1.9037185,0.11623575,0.019939926,0.00024503632,0.18167876,0.0008186198,999.0,22.000003004446626,22.000003004446626,1.0
930000,0.0943246,2.2184103,0.32369694,0.020431941,0.00024444168,0.18148056,0.0008166576,None,None,None,1.0
940000,0.09070582,1.7761914,0.093388915,0.024994114,0.00024383632,0.18127877,0.0008146598,999.0,20.50000156275928,20.50000156275928,1.0
950000,0.10038606,1.8610297,0.26221162,0.016179824,0.00024324172,0.18108056,0.00081269763,None,None,None,1.0
960000,0.100515164,1.9256731,0.16328488,0.022973359,0.00024263265,0.18087754,0.0008106877,979.25,22.144802479073405,22.144802479073405,1.0
970000,0.10372692,2.13931,0.21951501,0.023027634,0.00024210382,0.18070126,0.0008089426,None,None,None,1.0
980000,0.101781406,1.877194,0.10909619,0.0162057,0.00024149811,0.18049936,0.0008069437,998.75,19.000252379104495,19.000252379104495,1.0
990000,0.090679176,2.0102692,0.31988743,0.017830694,0.0002409041,0.18030137,0.00080498355,None,None,None,1.0
