Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,9.683317,0.11887473,0.035772305,0.023291448,0.00029965068,0.19988355,0.0004994295,998.625,-0.12462487630546093,-0.12462487630546093,1.0
20000,9.6230345,0.07084441,0.013814381,0.015987117,0.00029905266,0.19968422,0.00049845275,999.0,0.4166668566564719,0.4166668566564719,1.0
30000,9.443948,0.04158025,0.01120998,0.015545585,0.00029845265,0.19948423,0.0004974727,999.0,0.37500021420419216,0.37500021420419216,1.0
40000,9.274695,0.005330952,0.007068946,0.014528666,0.00029785268,0.19928423,0.00049649266,999.0,-0.24999988389511904,-0.24999988389511904,1.0
50000,9.076245,0.012679766,0.01262239,0.014676529,0.0002972527,0.19908422,0.0004955127,999.0,0.8750003138557076,0.8750003138557076,1.0
60000,8.920378,0.035074085,0.0099673215,0.018299188,0.0002966527,0.19888422,0.0004945327,999.0,0.416666900118192,0.416666900118192,1.0
70000,8.794992,0.062425915,0.02143215,0.014435345,0.0002960527,0.19868422,0.0004935527,999.0,1.500000150874257,1.500000150874257,1.0
80000,8.851175,0.12145127,0.01936319,0.012951354,0.0002954527,0.19848421,0.0004925727,999.0,2.0833336940656104,2.0833336940656104,1.0
90000,8.793744,0.119776025,0.015445059,0.014741708,0.0002948527,0.19828422,0.0004915927,999.0,1.2500003166496754,1.2500003166496754,1.0
100000,8.71326,0.11369393,0.014811723,0.01783869,0.00029425268,0.19808422,0.00049061276,999.0,0.7500002551823854,0.7500002551823854,1.0
110000,8.498561,0.10541285,0.019553656,0.026864845,0.0002936527,0.19788422,0.00048963266,999.0,2.0000004712492228,2.0000004712492228,1.0
120000,8.437706,0.13879514,0.023535803,0.018589493,0.00029305267,0.19768421,0.0004886527,999.0,2.250000556310018,2.250000556310018,1.0
130000,8.404587,0.15046498,0.02044038,0.022258759,0.0002924527,0.19748423,0.00048767266,999.0,2.000000413507223,2.000000413507223,1.0
140000,8.128449,0.1776595,0.01860015,0.01791532,0.00029185266,0.19728422,0.00048669268,999.0,2.083333774159352,2.083333774159352,1.0
150000,8.0395975,0.27563792,0.024112755,0.016619137,0.00029125268,0.19708422,0.00048571266,999.0,3.0000007078051567,3.0000007078051567,1.0
160000,7.932945,0.27263585,0.026913967,0.021578211,0.00029065265,0.19688423,0.00048473268,999.0,3.166667301207781,3.166667301207781,1.0
170000,7.969697,0.42408106,0.037554476,0.022896746,0.00029005267,0.19668423,0.00048375266,999.0,4.875000836327672,4.875000836327672,1.0
180000,8.026985,0.54168916,0.03406718,0.021389429,0.00028945264,0.19648422,0.00048277268,999.0,5.250000975405176,5.250000975405176,1.0
190000,8.039909,0.61710894,0.049812738,0.01329073,0.00028885267,0.19628422,0.00048179267,999.0,6.000001129694283,6.000001129694283,1.0
200000,7.894915,0.6244728,0.041764837,0.018575339,0.00028825266,0.19608422,0.00048081265,999.0,7.166667761902015,7.166667761902015,1.0
210000,7.9039264,0.8500256,0.049636103,0.025511917,0.0002876527,0.19588423,0.0004798327,999.0,7.750001245178282,7.750001245178282,1.0
220000,8.37628,0.75360423,0.047394607,0.022335386,0.00028705268,0.19568422,0.0004788527,999.0,7.250001051152746,7.250001051152746,1.0
230000,8.542534,0.67182463,0.047323294,0.019799607,0.0002864527,0.19548424,0.00047787267,999.0,5.875001055188477,5.875001055188477,1.0
240000,8.427825,0.77704775,0.052533366,0.024728876,0.0002858527,0.19528422,0.0004768927,999.0,8.416668040677905,8.416668040677905,1.0
250000,8.336286,0.8007482,0.05293425,0.018198773,0.0002852527,0.19508421,0.00047591268,999.0,8.750001708976924,8.750001708976924,1.0
260000,8.062678,0.87203544,0.04660602,0.020597221,0.0002846527,0.19488423,0.00047493266,999.0,9.583334865048528,9.583334865048528,1.0
270000,7.947321,0.94343364,0.052451693,0.018111266,0.0002840527,0.19468422,0.00047395265,999.0,9.000001467764378,9.000001467764378,1.0
280000,7.818124,0.92439127,0.05799631,0.020081744,0.00028345268,0.19448423,0.00047297266,999.0,9.750001500050226,9.750001500050226,1.0
290000,7.7728853,0.9477998,0.052137632,0.017468313,0.00028285268,0.19428422,0.00047199265,999.0,9.50000153761357,9.50000153761357,1.0
300000,7.7258058,0.9704627,0.059469163,0.016752442,0.00028225267,0.19408423,0.0004710127,999.0,10.583334964389602,10.583334964389602,1.0
310000,7.5820727,1.0936676,0.06933854,0.029616963,0.00028165267,0.19388422,0.00047003265,999.0,10.75000166054815,10.75000166054815,1.0
320000,7.5453186,0.9925234,0.061906897,0.02075234,0.00028105266,0.19368422,0.0004690527,999.0,10.166668113321066,10.166668113321066,1.0
330000,7.612505,1.0203539,0.055699263,0.020278165,0.00028045266,0.19348422,0.00046807266,999.0,9.250001483596861,9.250001483596861,1.0
340000,7.390341,1.0879197,0.06575732,0.019916946,0.00027985268,0.19328423,0.00046709264,999.0,12.250001567726335,12.250001567726335,1.0
350000,7.2990785,1.2283497,0.07126891,0.019843232,0.00027925268,0.19308423,0.0004661127,999.0,12.500001936219633,12.500001936219633,1.0
360000,7.2628555,1.0087874,0.050737247,0.019947398,0.00027865267,0.19288422,0.00046513267,999.0,10.000001521781087,10.000001521781087,1.0
370000,7.191152,1.0926689,0.0651753,0.02204234,0.0002780527,0.19268422,0.00046415266,999.0,13.25000209454447,13.25000209454447,1.0
380000,7.201875,1.2595035,0.062482208,0.015737306,0.0002774527,0.19248421,0.00046317268,999.0,12.583335238819322,12.583335238819322,1.0
390000,7.212674,1.2217506,0.07208806,0.017054487,0.0002768527,0.19228423,0.00046219266,999.0,11.750001945532858,11.750001945532858,1.0
400000,7.138402,1.0975734,0.063778386,0.019196104,0.0002762527,0.19208422,0.00046121265,999.0,11.583335035791,11.583335035791,1.0
410000,7.0913754,1.1568987,0.0898743,0.015550296,0.00027565268,0.19188423,0.00046023267,999.0,11.500001480802894,11.500001480802894,1.0
420000,6.993932,1.2208291,0.067352384,0.02508096,0.0002750527,0.19168422,0.00045925268,999.0,13.916668590158224,13.916668590158224,1.0
430000,7.001771,1.2397071,0.07603333,0.019880285,0.00027445267,0.19148421,0.00045827267,999.0,12.000001558102667,12.000001558102667,1.0
440000,7.07368,1.2341853,0.07117604,0.021834075,0.0002738527,0.19128422,0.00045729266,999.0,12.250001702457666,12.250001702457666,1.0
450000,6.944669,1.2489618,0.07748296,0.019207435,0.00027325266,0.19108422,0.00045631267,999.0,11.625001449137926,11.625001449137926,1.0
460000,6.8142295,1.2039025,0.059640788,0.014065251,0.0002726527,0.19088423,0.0004553327,999.0,12.833335115884742,12.833335115884742,1.0
470000,6.743416,1.1702936,0.06868774,0.016532756,0.00027205268,0.19068421,0.00045435267,999.0,12.000001724809408,12.000001724809408,1.0
480000,6.6997566,1.1690087,0.07391323,0.015359702,0.00027145268,0.19048423,0.0004533727,999.0,13.250001519918442,13.250001519918442,1.0
490000,6.5345697,1.332398,0.08597956,0.022960935,0.00027085267,0.19028422,0.00045239268,999.0,13.000001852400601,13.000001852400601,1.0
500000,6.462293,1.1268241,0.06882045,0.025559556,0.00027025267,0.19008422,0.00045141266,999.0,13.250002086783448,13.250002086783448,1.0
510000,6.174192,1.3194011,0.07191707,0.019049635,0.00026965266,0.18988422,0.00045043268,999.0,13.750002020038664,13.750002020038664,1.0
520000,6.025731,1.3032365,0.07270969,0.02346228,0.0002690527,0.18968423,0.00044945267,999.0,12.91666830641528,12.91666830641528,1.0
530000,5.9176464,1.301528,0.08327106,0.016875003,0.00026845268,0.18948422,0.00044847268,999.0,13.25000175461173,13.25000175461173,1.0
540000,5.743464,1.3044506,0.06364779,0.017003303,0.00026785268,0.18928422,0.00044749267,999.0,14.500002107893428,14.500002107893428,1.0
550000,5.6914525,1.393291,0.08867383,0.023666045,0.0002672527,0.18908422,0.00044651265,999.0,14.12500177975744,14.12500177975744,1.0
560000,5.6591325,1.2681452,0.06732427,0.01916474,0.0002666527,0.18888423,0.00044553267,999.0,12.416668451080719,12.416668451080719,1.0
570000,5.6227293,1.2217342,0.07129951,0.02274226,0.0002660527,0.18868423,0.00044455266,999.0,12.875001914799213,12.875001914799213,1.0
580000,5.5453277,1.2076212,0.069857985,0.02517597,0.0002654527,0.18848422,0.00044357267,999.0,14.083335464820266,14.083335464820266,1.0
590000,5.5321403,1.2724165,0.07783048,0.020008475,0.00026485272,0.18828423,0.00044259266,999.0,12.750001925975084,12.750001925975084,1.0
600000,5.5412087,1.2292303,0.08467868,0.017158099,0.00026425268,0.18808421,0.00044161268,999.0,14.416668449838957,14.416668449838957,1.0
610000,5.4904604,1.5091996,0.08306375,0.014085578,0.0002636527,0.18788421,0.00044063266,999.0,14.250001839362085,14.250001839362085,1.0
620000,5.563568,1.260556,0.07156799,0.018772826,0.00026305267,0.18768422,0.00043965268,999.0,12.833335049450397,12.833335049450397,1.0
630000,5.6179767,1.1916847,0.07809507,0.016787238,0.0002624527,0.18748423,0.0004386727,999.0,13.250001957640052,13.250001957640052,1.0
640000,5.5797267,1.146569,0.063805655,0.02048226,0.00026185266,0.18728423,0.00043769265,999.0,12.500001915420095,12.500001915420095,1.0
650000,5.396924,1.2701647,0.083457485,0.019089365,0.0002612527,0.18708421,0.0004367127,999.0,11.750001914799213,11.750001914799213,1.0
660000,5.299721,1.2960073,0.08908083,0.014504785,0.00026065265,0.18688422,0.00043573268,999.0,14.666668760900697,14.666668760900697,1.0
670000,5.201687,1.53334,0.10069051,0.016282039,0.00026005268,0.18668422,0.00043475267,999.0,15.125001997686923,15.125001997686923,1.0
680000,5.108672,1.4526747,0.075138226,0.027801698,0.00025945264,0.18648422,0.00043377266,999.0,14.750001967574159,14.750001967574159,1.0
690000,5.035098,1.37879,0.09899548,0.02134777,0.00025885267,0.18628421,0.00043279267,999.0,13.625001882202923,13.625001882202923,1.0
700000,4.9840074,1.3040298,0.07938736,0.01833049,0.0002582527,0.18608423,0.00043181266,999.0,14.916668836027384,14.916668836027384,1.0
710000,4.767681,1.4460757,0.0843834,0.016263017,0.0002576527,0.18588422,0.00043083268,999.0,15.12500156275928,15.12500156275928,1.0
720000,4.461639,1.3947079,0.09154032,0.021189837,0.0002570527,0.18568422,0.00042985266,999.0,14.916668816159168,14.916668816159168,1.0
730000,4.2150407,1.4615538,0.100222275,0.015255149,0.0002564527,0.18548422,0.00042887265,999.0,15.250002120621502,15.250002120621502,1.0
740000,4.154812,1.4186594,0.07131195,0.019505423,0.0002558527,0.18528423,0.00042789266,999.0,15.25000193839272,15.25000193839272,1.0
750000,4.2016406,1.4013754,0.09418591,0.020988703,0.0002552527,0.18508422,0.00042691265,999.0,14.625002207234502,14.625002207234502,1.0
760000,4.0688524,1.2828472,0.07705935,0.014033827,0.0002546527,0.18488422,0.0004259327,999.0,13.25000192100803,13.25000192100803,1.0
770000,3.9532926,1.3330233,0.10164474,0.016819105,0.0002540527,0.18468423,0.00042495268,999.0,15.375002400018275,15.375002400018275,1.0
780000,3.8239272,1.2594252,0.07594235,0.030828362,0.0002534527,0.18448421,0.00042397267,999.0,14.666668576498827,14.666668576498827,1.0
790000,3.677864,1.5344003,0.113057755,0.023166161,0.00025285268,0.18428423,0.00042299269,999.0,16.125002139247954,16.125002139247954,1.0
800000,3.5890024,1.4212064,0.08803499,0.024815619,0.00025225268,0.18408422,0.00042201267,999.0,15.750002261872092,15.750002261872092,1.0
810000,3.519075,1.5255806,0.09909446,0.016169433,0.00025165267,0.18388423,0.0004210327,999.0,16.750002147629857,16.750002147629857,1.0
820000,3.445379,1.4695787,0.087743595,0.019907415,0.00025105267,0.18368423,0.00042005267,999.0,14.500001770133773,14.500001770133773,1.0
830000,3.3162866,1.5843432,0.099493146,0.0222051,0.00025045266,0.18348423,0.00041907266,999.0,17.250002115033567,17.250002115033567,1.0
840000,3.3500304,1.446629,0.08298898,0.014400134,0.0002498527,0.18328422,0.0004180927,999.0,16.416668788840372,16.416668788840372,1.0
850000,3.3305106,1.4773495,0.086082906,0.016346717,0.00024925265,0.18308422,0.00041711266,999.0,13.250002008862793,13.250002008862793,1.0
860000,3.269648,1.440815,0.08873177,0.022184007,0.0002486527,0.18288423,0.00041613268,999.0,15.416668762142459,15.416668762142459,1.0
870000,3.21169,1.5425016,0.10817562,0.02113229,0.00024805267,0.18268421,0.0004151527,999.0,16.500002149492502,16.500002149492502,1.0
880000,3.1960707,1.4594212,0.086160555,0.015950607,0.0002474527,0.18248422,0.00041417268,999.0,15.750002119069299,15.750002119069299,1.0
890000,3.1616173,1.5120908,0.10132169,0.023142967,0.0002468527,0.18228422,0.00041319267,999.0,15.500001732259989,15.500001732259989,1.0
900000,3.0262747,1.458048,0.088023275,0.02177405,0.00024625272,0.18208423,0.00041221268,999.0,16.41666894281904,16.41666894281904,1.0
910000,2.8689513,1.5290916,0.10994911,0.01899836,0.00024565269,0.18188421,0.0004112327,999.0,14.625002005137503,14.625002005137503,1.0
920000,2.8444314,1.3985131,0.08915776,0.018950839,0.0002450527,0.18168423,0.0004102527,999.0,14.500002006689707,14.500002006689707,1.0
930000,2.6981795,1.4646676,0.09243156,0.020637449,0.00024445268,0.18148422,0.00040927267,999.0,15.500002088956535,15.500002088956535,1.0
940000,2.5367355,1.354007,0.08760112,0.02204983,0.00024385272,0.18128422,0.00040829266,999.0,14.16666879877448,14.16666879877448,1.0
