Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,9.695224,-0.2750745,0.049277894,0.016701704,0.00029965068,0.19988355,0.0004994295,998.625,0.1253751628100872,0.1253751628100872,1.0
20000,9.636498,-0.13080202,0.008100138,0.01921922,0.00029905266,0.19968422,0.00049845275,999.0,-0.41666663189729053,-0.41666663189729053,1.0
30000,9.577461,-0.03151065,0.013430778,0.018757667,0.00029845265,0.19948423,0.0004974727,999.0,0.6250002337619662,0.6250002337619662,1.0
40000,9.582608,0.0025597464,0.010164504,0.025028171,0.00029785268,0.19928423,0.00049649266,999.0,0.2500001850227515,0.2500001850227515,1.0
50000,9.583569,0.018469226,0.014974838,0.018999975,0.0002972527,0.19908422,0.0004955127,999.0,0.37500014901161194,0.37500014901161194,1.0
60000,9.549463,0.029033316,0.012310116,0.021845728,0.0002966527,0.19888422,0.0004945327,999.0,0.6666668678323427,0.6666668678323427,1.0
70000,9.442879,0.07316595,0.015709337,0.018048799,0.0002960527,0.19868422,0.0004935527,999.0,1.3750002337619662,1.3750002337619662,1.0
80000,9.469993,0.094881155,0.015591356,0.011980572,0.0002954527,0.19848421,0.0004925727,999.0,1.2500002812594175,1.2500002812594175,1.0
90000,9.481809,0.09745054,0.018138934,0.02237768,0.0002948527,0.19828422,0.0004915927,999.0,1.125000275671482,1.125000275671482,1.0
100000,9.385111,0.10204855,0.013874043,0.020060234,0.00029425268,0.19808422,0.00049061276,999.0,1.166667024915417,1.166667024915417,1.0
110000,9.380996,0.13396116,0.02468064,0.01948866,0.0002936527,0.19788422,0.00048963266,999.0,1.8750003864988685,1.8750003864988685,1.0
120000,9.35308,0.14342459,0.016108055,0.02167141,0.00029305267,0.19768421,0.0004886527,999.0,1.8333337592581909,1.8333337592581909,1.0
130000,9.333353,0.15426369,0.019812929,0.016425245,0.0002924527,0.19748423,0.00048767266,999.0,2.0000004786998034,2.0000004786998034,1.0
140000,9.284745,0.1529268,0.01621959,0.024501972,0.00029185266,0.19728422,0.00048669268,999.0,1.3333336915820837,1.3333336915820837,1.0
150000,9.23855,0.14750795,0.02407399,0.02113717,0.00029125268,0.19708422,0.00048571266,999.0,1.875000473111868,1.875000473111868,1.0
160000,9.086051,0.11058281,0.02460495,0.021662187,0.00029065265,0.19688423,0.00048473268,999.0,2.583333872258663,2.583333872258663,1.0
170000,8.943811,0.2117739,0.026358893,0.01778496,0.00029005267,0.19668423,0.00048375266,999.0,2.3750005094334483,2.3750005094334483,1.0
180000,8.838436,0.31785542,0.039291672,0.017415734,0.00028945264,0.19648422,0.00048277268,999.0,4.750000848745306,4.750000848745306,1.0
190000,8.749401,0.40066677,0.03109494,0.018899946,0.00028885267,0.19628422,0.00048179267,999.0,2.87500056438148,2.87500056438148,1.0
200000,8.701471,0.3365171,0.025890203,0.019778118,0.00028825266,0.19608422,0.00048081265,999.0,3.333333922550082,3.333333922550082,1.0
210000,8.486061,0.4330639,0.041191682,0.020365186,0.0002876527,0.19588423,0.0004798327,999.0,5.625001188367605,5.625001188367605,1.0
220000,8.3793545,0.5694372,0.041146323,0.016705183,0.00028705268,0.19568422,0.0004788527,999.0,5.5833342634141445,5.5833342634141445,1.0
230000,8.103264,0.52296275,0.0382709,0.024443645,0.0002864527,0.19548424,0.00047787267,999.0,4.50000081025064,4.50000081025064,1.0
240000,7.780518,0.62715966,0.0489532,0.017522227,0.0002858527,0.19528422,0.0004768927,999.0,8.416668120150765,8.416668120150765,1.0
250000,7.608592,0.87552226,0.059284616,0.016880523,0.0002852527,0.19508421,0.00047591268,999.0,8.750001254491508,8.750001254491508,1.0
260000,7.601371,0.92730147,0.04780961,0.024065029,0.0002846527,0.19488423,0.00047493266,999.0,7.583334472651283,7.583334472651283,1.0
270000,7.6264877,0.8488312,0.04665292,0.015655471,0.0002840527,0.19468422,0.00047395265,999.0,8.375001582317054,8.375001582317054,1.0
280000,7.6935997,0.7751228,0.051918443,0.012522707,0.00028345268,0.19448423,0.00047297266,999.0,8.08333456578354,8.08333456578354,1.0
290000,7.604757,0.8328389,0.04381521,0.02094555,0.00028285268,0.19428422,0.00047199265,999.0,7.250000987201929,7.250000987201929,1.0
300000,7.394037,0.8344009,0.0661883,0.01687254,0.00028225267,0.19408423,0.0004710127,999.0,9.66666833932201,9.66666833932201,1.0
310000,7.525936,1.0724322,0.06926417,0.01849133,0.00028165267,0.19388422,0.00047003265,999.0,11.375001764856279,11.375001764856279,1.0
320000,7.5800495,1.0103421,0.06336002,0.020232372,0.00028105266,0.19368422,0.0004690527,999.0,9.833335068076849,9.833335068076849,1.0
330000,7.5295053,0.8897121,0.06402297,0.01524185,0.00028045266,0.19348422,0.00046807266,999.0,8.25000112131238,8.25000112131238,1.0
340000,7.5705137,0.9615302,0.07025393,0.020955559,0.00027985268,0.19328423,0.00046709264,999.0,11.083334962526957,11.083334962526957,1.0
350000,7.721007,1.0897352,0.06670088,0.02531584,0.00027925268,0.19308423,0.0004661127,999.0,9.000001675449312,9.000001675449312,1.0
360000,7.5627627,0.7944894,0.060004197,0.016568672,0.00027865267,0.19288422,0.00046513267,999.0,10.000001545374593,10.000001545374593,1.0
370000,7.5098486,0.9347726,0.07344796,0.020400818,0.0002780527,0.19268422,0.00046415266,999.0,10.750001802109182,10.750001802109182,1.0
380000,7.3689103,1.0119727,0.070953004,0.024111573,0.0002774527,0.19248421,0.00046317268,999.0,11.83333514817059,11.83333514817059,1.0
390000,7.3418126,1.1937178,0.0771537,0.017671626,0.0002768527,0.19228423,0.00046219266,999.0,10.625001576729119,10.625001576729119,1.0
400000,7.2964506,1.1664687,0.076199576,0.0141982045,0.0002762527,0.19208422,0.00046121265,999.0,11.083335097879171,11.083335097879171,1.0
410000,7.1990566,1.1462221,0.07324746,0.015641877,0.00027565268,0.19188423,0.00046023267,999.0,11.875001550652087,11.875001550652087,1.0
420000,6.920006,1.0784324,0.075645216,0.019442514,0.0002750527,0.19168422,0.00045925268,999.0,11.416668185964227,11.416668185964227,1.0
430000,6.7353764,1.1654936,0.082754895,0.019391082,0.00027445267,0.19148421,0.00045827267,999.0,12.250001968815923,12.250001968815923,1.0
440000,6.7353144,1.1098095,0.07990757,0.01972878,0.0002738527,0.19128422,0.00045729266,999.0,12.500001825392246,12.500001825392246,1.0
450000,6.774939,1.2474136,0.07645007,0.014425312,0.00027325266,0.19108422,0.00045631267,999.0,11.000001532025635,11.000001532025635,1.0
460000,6.9449425,1.2294792,0.08807267,0.018388616,0.0002726527,0.19088423,0.0004553327,999.0,13.583335238819322,13.583335238819322,1.0
470000,6.91609,1.3450445,0.09050286,0.024707647,0.00027205268,0.19068421,0.00045435267,999.0,13.250002016313374,13.250002016313374,1.0
480000,6.707301,1.2741778,0.07246907,0.016750501,0.00027145268,0.19048423,0.0004533727,999.0,13.666668855274716,13.666668855274716,1.0
490000,6.487409,1.3133698,0.07904568,0.016715685,0.00027085267,0.19028422,0.00045239268,999.0,13.250001676380634,13.250001676380634,1.0
500000,6.3923593,1.2222989,0.086674504,0.016584419,0.00027025267,0.19008422,0.00045141266,999.0,13.833335367341837,13.833335367341837,1.0
510000,6.335781,1.4327942,0.0818431,0.019920943,0.00026965266,0.18988422,0.00045043268,999.0,14.750002473592758,14.750002473592758,1.0
520000,6.0065956,1.4061085,0.06604703,0.020736307,0.0002690527,0.18968423,0.00044945267,999.0,14.08333538286388,14.08333538286388,1.0
530000,5.9117837,1.5040855,0.11024611,0.014483744,0.00026845268,0.18948422,0.00044847268,999.0,14.375001637265086,14.375001637265086,1.0
540000,5.9487767,1.3216163,0.0792498,0.02368081,0.00026785268,0.18928422,0.00044749267,999.0,14.83333513326943,14.83333513326943,1.0
550000,5.9137163,1.2303401,0.07513258,0.020942226,0.0002672527,0.18908422,0.00044651265,999.0,12.375001900829375,12.375001900829375,1.0
560000,5.682983,1.4063201,0.0853074,0.021317303,0.0002666527,0.18888423,0.00044553267,999.0,16.166668878868222,16.166668878868222,1.0
570000,5.596031,1.6076983,0.080250494,0.018916188,0.0002660527,0.18868423,0.00044455266,999.0,13.875002037733793,13.875002037733793,1.0
580000,5.566095,1.3107946,0.07332181,0.017277598,0.0002654527,0.18848422,0.00044357267,999.0,13.00000207622846,13.00000207622846,1.0
590000,5.4004974,1.3122131,0.092219695,0.01844662,0.00026485272,0.18828423,0.00044259266,999.0,15.125001734122634,15.125001734122634,1.0
600000,5.455887,1.2624494,0.09466532,0.015382722,0.00026425268,0.18808421,0.00044161268,999.0,15.666668942819038,15.666668942819038,1.0
610000,5.267167,1.3197286,0.073804826,0.02316778,0.0002636527,0.18788421,0.00044063266,999.0,13.125002214685082,13.125002214685082,1.0
620000,5.267534,1.289461,0.0795344,0.012604735,0.00026305267,0.18768422,0.00043965268,999.0,14.916668619339665,14.916668619339665,1.0
630000,5.279758,1.4155601,0.09000131,0.016999695,0.0002624527,0.18748423,0.0004386727,999.0,13.750002128072083,13.750002128072083,1.0
640000,5.063159,1.3275961,0.08301154,0.02098639,0.00026185266,0.18728423,0.00043769265,999.0,14.750002228965363,14.750002228965363,1.0
650000,5.1301455,1.5291542,0.09718489,0.016191062,0.0002612527,0.18708421,0.0004367127,999.0,14.500001922249794,14.500001922249794,1.0
660000,4.918781,1.4525023,0.08942812,0.019067887,0.00026065265,0.18688422,0.00043573268,999.0,16.250002038975556,16.250002038975556,1.0
670000,4.9587545,1.5391077,0.108562954,0.025169192,0.00026005268,0.18668422,0.00043475267,999.0,15.500002039596438,15.500002039596438,1.0
680000,5.039369,1.4150541,0.073830776,0.020005021,0.00025945264,0.18648422,0.00043377266,999.0,15.583335514490804,15.583335514490804,1.0
690000,4.766083,1.5295795,0.10105381,0.016648756,0.00025885267,0.18628421,0.00043279267,999.0,16.750001802109182,16.750001802109182,1.0
700000,4.668234,1.4054642,0.08622261,0.014390083,0.0002582527,0.18608423,0.00043181266,999.0,15.166668873901168,15.166668873901168,1.0
710000,4.490262,1.6289859,0.1122729,0.020903591,0.0002576527,0.18588422,0.00043083268,999.0,17.250002298504114,17.250002298504114,1.0
