Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,TotalScore,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3694093,-0.1530018,0.004365818,0.021727126,0.0002990844,0.1996948,0.0009969785,-3.6043732166290283,998.05,-0.4990499526262283,-0.4990499526262283,1.0
30000,1.3781489,-0.09533527,0.0037705458,0.014661488,0.00029849398,0.19949798,0.00099503,None,None,None,None,1.0
40000,1.375081,-0.043487858,0.0066280826,0.018248424,0.0002978853,0.1992951,0.0009930215,-2.7712349891662598,999.0,-0.24999983981251717,-0.24999983981251717,1.0
50000,1.3821509,0.01315502,0.025409324,0.021930287,0.00029729397,0.19909799,0.0009910701,-0.9379640817642212,None,None,None,1.0
60000,1.3841978,0.09770648,0.010097911,0.021522122,0.0002966853,0.19889511,0.0009890615,None,999.0,1.0000003352761269,1.0000003352761269,1.0
70000,1.3822646,0.051006477,0.019552922,0.017331699,0.00029609396,0.19869798,0.0009871101,0.8949187994003296,None,None,None,1.0
80000,1.3767282,0.050119005,0.015111141,0.014679387,0.0002954853,0.1984951,0.0009851016,0.7290275692939758,999.0,0.750000137835741,0.750000137835741,1.0
90000,1.357483,0.0861528,0.02943814,0.01675087,0.00029489395,0.19829798,0.0009831501,None,None,None,None,1.0
100000,1.3448753,0.14143474,0.019825902,0.017923815,0.00029428533,0.1980951,0.0009811416,-2.4381110668182373,999.0,1.7500003892928362,1.7500003892928362,1.0
110000,1.3544374,0.17362466,0.042570185,0.019512773,0.00029369394,0.19789799,0.0009791901,None,None,None,None,1.0
120000,1.364219,0.21073993,0.027628098,0.020017393,0.00029308532,0.1976951,0.0009771816,-0.6049132347106934,999.0,3.5000007171183825,3.5000007171183825,1.0
130000,1.3401245,0.37335265,0.057672974,0.017512938,0.00029249396,0.19749801,0.00097523007,None,None,None,None,1.0
140000,1.3275658,0.45667472,0.053369664,0.01759159,0.0002918853,0.19729511,0.00097322155,-0.7709290981292725,999.0,5.7500009294599295,5.7500009294599295,1.0
150000,1.2996074,0.60981464,0.08205891,0.015861783,0.00029129398,0.19709797,0.0009712701,3.061779499053955,None,None,None,1.0
160000,1.2667776,0.6189568,0.052195795,0.02360051,0.0002906853,0.1968951,0.0009692616,None,999.0,8.000001657754183,8.000001657754183,1.0
170000,1.237975,0.8002344,0.11090228,0.020435303,0.00029009397,0.196698,0.0009673101,0.8949748277664185,None,None,None,1.0
180000,1.2339972,0.6519909,0.03998261,0.015343945,0.0002894853,0.1964951,0.0009653016,3.728991985321045,999.0,8.000001419335604,8.000001419335604,1.0
190000,1.2546961,0.78837305,0.20397238,0.014813912,0.00028889396,0.19629796,0.0009633501,None,None,None,None,1.0
200000,1.2196393,0.65793824,0.032519944,0.017908745,0.0002882853,0.1960951,0.0009613416,9.562060356140137,999.0,9.750001462176442,9.750001462176442,1.0
210000,1.2146013,0.81649256,0.19954242,0.016373925,0.00028769395,0.19589798,0.0009593901,None,None,None,None,1.0
220000,1.1435273,0.3910452,0.01616828,0.018266901,0.00028708534,0.19569512,0.0009573816,3.3951330184936523,999.0,7.75000080652535,7.75000080652535,1.0
230000,1.1117538,0.8580217,0.30725273,0.022256041,0.00028649395,0.19549799,0.0009554301,None,None,None,None,1.0
240000,1.131072,0.7253766,0.03340205,0.022912383,0.00028588533,0.19529511,0.00095342164,4.231503486633301,999.0,11.250001534819603,11.250001534819603,1.0
250000,1.0909771,1.0070331,0.34161147,0.023790255,0.00028529394,0.19509798,0.0009514701,8.062762260437012,None,None,None,1.0
260000,1.0713414,1.0207293,0.06395438,0.023169186,0.00028468535,0.1948951,0.0009494616,None,999.0,15.750002026557922,15.750002026557922,1.0
270000,1.0322442,1.1610863,0.2766499,0.023904787,0.00028409393,0.19469798,0.0009475101,10.89509391784668,None,None,None,1.0
280000,0.988872,0.99890816,0.054303944,0.02251517,0.00028348534,0.1944951,0.00094550167,3.7289912700653076,999.0,14.000001994892955,14.000001994892955,1.0
290000,0.9529622,1.2345856,0.2796562,0.014524485,0.00028289398,0.19429798,0.00094355014,None,None,None,None,1.0
300000,1.0038807,1.0036144,0.02888379,0.01988057,0.00028228533,0.1940951,0.0009415416,11.557292938232422,999.0,12.250001344829798,12.250001344829798,1.0
310000,0.98614204,1.0237125,0.3889095,0.018814204,0.00028169397,0.193898,0.0009395901,None,None,None,None,1.0
320000,0.93038297,0.98199993,0.041648753,0.014382184,0.00028108532,0.19369511,0.00093758164,13.390933990478516,999.0,14.250001825392246,14.250001825392246,1.0
330000,0.88994193,1.1073759,0.3149658,0.018463617,0.00028049396,0.19349797,0.0009356301,None,None,None,None,1.0
340000,0.8022605,0.77811426,0.022283625,0.020512342,0.0002798853,0.19329509,0.00093362154,9.2288179397583,999.0,11.250000912696123,11.250000912696123,1.0
350000,0.8356223,0.9409915,0.3399724,0.020273345,0.00027929398,0.193098,0.00093167013,12.060628890991211,None,None,None,1.0
360000,0.84834856,0.5705328,0.008562015,0.015298386,0.0002786853,0.1928951,0.00092966156,None,999.0,10.00000086426735,10.00000086426735,1.0
370000,0.76700103,0.7395468,0.22991306,0.017887218,0.00027809397,0.19269796,0.00092771015,2.8948581218719482,None,None,None,1.0
380000,0.7327291,0.8045437,0.0550085,0.0278841,0.0002774853,0.19249511,0.0009257016,2.729003429412842,999.0,12.250001458451152,12.250001458451152,1.0
390000,0.69465894,1.1629243,0.317333,0.020469397,0.00027689396,0.192298,0.00092375017,None,None,None,None,1.0
400000,0.69017965,0.85855514,0.03101543,0.018902361,0.00027628534,0.19209512,0.0009217416,10.561094284057617,999.0,10.500001095235348,10.500001095235348,1.0
410000,0.6321297,1.0228444,0.3688194,0.0223931,0.00027569395,0.19189799,0.00091979007,None,None,None,None,1.0
420000,0.6416405,0.8601094,0.030865595,0.018506391,0.00027508533,0.19169511,0.0009177816,4.398209095001221,999.0,11.250002017244697,11.250002017244697,1.0
430000,0.5476449,0.86583406,0.25806126,0.021232719,0.00027449397,0.19149798,0.0009158301,None,None,None,None,1.0
440000,0.6061326,0.6722044,0.021094477,0.015749946,0.00027388532,0.1912951,0.0009138216,4.231155872344971,999.0,8.75000136345625,8.75000136345625,1.0
450000,0.6819867,0.9704259,0.4401685,0.013828774,0.00027329396,0.19109797,0.0009118701,14.06094741821289,None,None,None,1.0
460000,0.6575629,0.8918139,0.045739368,0.026130926,0.0002726853,0.1908951,0.00090986164,None,999.0,14.25000050291419,14.25000050291419,1.0
470000,0.7020338,1.1251577,0.43836007,0.020901093,0.00027209395,0.19069798,0.0009079101,7.895393371582031,None,None,None,1.0
480000,0.66423094,0.75912106,0.027273748,0.013773139,0.0002714853,0.1904951,0.00090590154,1.7290005683898926,999.0,12.25000168196857,12.25000168196857,1.0
