Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3716738,0.0379162,0.0063983025,0.021175243,0.0002990844,0.1996948,0.0009969785,998.05,0.0009501330554485321,0.0009501330554485321,1.0
30000,1.3155196,-0.027014812,0.003307359,0.015649809,0.00029849398,0.19949798,0.00099503,None,None,None,1.0
40000,1.2005843,-0.047837794,0.007439951,0.019713785,0.0002978853,0.1992951,0.0009930215,999.0,-0.2499999012798071,-0.2499999012798071,1.0
50000,1.1319467,0.023498993,0.015519184,0.017625751,0.00029729397,0.19909799,0.0009910701,None,None,None,1.0
60000,1.1104443,0.013014552,0.007084562,0.015236574,0.0002966853,0.19889511,0.0009890615,999.0,0.2500001210719347,0.2500001210719347,1.0
70000,0.98216295,0.11924148,0.040225964,0.020349503,0.00029609396,0.19869798,0.0009871101,None,None,None,1.0
80000,0.8990856,0.3295884,0.046463903,0.024062894,0.0002954853,0.1984951,0.0009851016,999.0,5.250000959262252,5.250000959262252,1.0
90000,0.8966728,0.5616327,0.08840301,0.02035653,0.00029489395,0.19829798,0.0009831501,None,None,None,1.0
100000,0.90007937,0.5520498,0.035858106,0.01857938,0.00029428533,0.1980951,0.0009811416,999.0,6.500001005828381,6.500001005828381,1.0
110000,0.88991284,0.68040144,0.09173981,0.019088713,0.00029369394,0.19789799,0.0009791901,None,None,None,1.0
120000,0.8256334,0.96028,0.10291839,0.020568166,0.00029308532,0.1976951,0.0009771816,999.0,11.750001419335604,11.750001419335604,1.0
130000,0.8200866,1.3643105,0.13963243,0.025102334,0.00029249396,0.19749801,0.00097523007,None,None,None,1.0
140000,0.70956504,1.2537382,0.06834686,0.01703916,0.0002918853,0.19729511,0.00097322155,999.0,13.25000199303031,13.25000199303031,1.0
150000,0.6951999,1.3905252,0.19877553,0.018637232,0.00029129398,0.19709797,0.0009712701,None,None,None,1.0
160000,0.70727664,1.2629647,0.08368163,0.01858764,0.0002906853,0.1968951,0.0009692616,999.0,15.00000231526792,15.00000231526792,1.0
170000,0.665343,1.2746503,0.18378699,0.02282972,0.00029009397,0.196698,0.0009673101,None,None,None,1.0
180000,0.5893825,1.2699622,0.082691535,0.019310748,0.0002894853,0.1964951,0.0009653016,999.0,13.500001581385732,13.500001581385732,1.0
190000,0.56193733,1.4016361,0.20754862,0.023151092,0.00028889396,0.19629796,0.0009633501,None,None,None,1.0
200000,0.54621696,1.3638867,0.06644233,0.01644062,0.0002882853,0.1960951,0.0009613416,999.0,15.00000175461173,15.00000175461173,1.0
210000,0.54997027,1.5311849,0.2408588,0.014793678,0.00028769395,0.19589798,0.0009593901,None,None,None,1.0
220000,0.5401234,1.5265626,0.08129363,0.025510082,0.00028708534,0.19569512,0.0009573816,999.0,17.000002041459084,17.000002041459084,1.0
230000,0.51334006,1.4762412,0.20823538,0.0154155,0.00028649395,0.19549799,0.0009554301,None,None,None,1.0
240000,0.5307902,1.6047592,0.09884505,0.020926107,0.00028588533,0.19529511,0.00095342164,999.0,18.750002844259143,18.750002844259143,1.0
250000,0.54278946,1.8123294,0.24608873,0.020251164,0.00028529394,0.19509798,0.0009514701,None,None,None,1.0
260000,0.50643927,1.5148753,0.080088474,0.024624664,0.00028468535,0.1948951,0.0009494616,999.0,17.00000201910734,17.00000201910734,1.0
270000,0.5066977,1.6116854,0.17259532,0.022784466,0.00028409393,0.19469798,0.0009475101,None,None,None,1.0
280000,0.55829036,1.6252265,0.09846021,0.015383747,0.00028348534,0.1944951,0.00094550167,999.0,18.250002529472113,18.250002529472113,1.0
290000,0.5897432,1.6552699,0.12003004,0.01872181,0.00028289398,0.19429798,0.00094355014,None,None,None,1.0
300000,0.5696318,1.713017,0.10585562,0.026094994,0.00028228533,0.1940951,0.0009415416,999.0,17.250002272427082,17.250002272427082,1.0
310000,0.67408264,1.8087326,0.22034168,0.024348669,0.00028169397,0.193898,0.0009395901,None,None,None,1.0
320000,0.63766396,1.5396928,0.06920995,0.028405529,0.00028108532,0.19369511,0.00093758164,999.0,16.250002037733793,16.250002037733793,1.0
330000,0.56778294,1.5885847,0.28287366,0.010935211,0.00028049396,0.19349797,0.0009356301,None,None,None,1.0
340000,0.600282,1.5352714,0.10910894,0.020108733,0.0002798853,0.19329509,0.00093362154,999.0,19.250002544373274,19.250002544373274,1.0
350000,0.6038929,1.6613128,0.21970339,0.023095706,0.00027929398,0.193098,0.00093167013,None,None,None,1.0
360000,0.57501024,1.6136659,0.0831754,0.021724477,0.0002786853,0.1928951,0.00092966156,999.0,18.000002223998308,18.000002223998308,1.0
370000,0.5610269,1.8348234,0.3121855,0.02117826,0.00027809397,0.19269796,0.00092771015,None,None,None,1.0
380000,0.50755584,1.5353359,0.098527715,0.01828534,0.0002774853,0.19249511,0.0009257016,999.0,19.50000210106373,19.50000210106373,1.0
390000,0.47746223,1.8957502,0.24314469,0.023405857,0.00027689396,0.192298,0.00092375017,None,None,None,1.0
400000,0.44187474,1.8374475,0.088710114,0.015620561,0.00027628534,0.19209512,0.0009217416,999.0,20.000002523884177,20.000002523884177,1.0
410000,0.43046775,1.8149844,0.16183655,0.016151732,0.00027569395,0.19189799,0.00091979007,None,None,None,1.0
420000,0.352047,1.8233103,0.12475787,0.013850878,0.00027508533,0.19169511,0.0009177816,999.0,20.000002786517143,20.000002786517143,1.0
430000,0.3109498,2.0018978,0.22449546,0.020079626,0.00027449397,0.19149798,0.0009158301,None,None,None,1.0
440000,0.30583563,1.974151,0.107804395,0.017826261,0.00027388532,0.1912951,0.0009138216,999.0,19.00000232644379,19.00000232644379,1.0
