Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,9.688642,-0.014119141,0.035401195,0.01942614,0.00029965068,0.19988355,0.0009988473,998.625,-3.748124361038208,-3.748124361038208,1.0
20000,9.595244,-0.25526875,0.011627326,0.018477213,0.00029905266,0.19968422,0.0009968738,999.0,-3.9999996051192284,-3.9999996051192284,1.0
30000,9.591913,-0.35270226,0.009283279,0.022522476,0.00029845265,0.19948423,0.0009948938,999.0,-3.6249994300305843,-3.6249994300305843,1.0
40000,9.553982,-0.38082337,0.009072606,0.018253984,0.00029785268,0.19928423,0.0009929137,999.0,-4.083332933485508,-4.083332933485508,1.0
50000,9.510396,-0.38919225,0.012300843,0.025245937,0.0002972527,0.19908422,0.0009909337,999.0,-3.7499993182718754,-3.7499993182718754,1.0
60000,9.455197,-0.3951227,0.0061424156,0.021561235,0.0002966527,0.19888422,0.0009889537,999.0,-3.91666616499424,-3.91666616499424,1.0
70000,9.287687,-0.39012802,0.015338944,0.019777626,0.0002960527,0.19868422,0.0009869739,999.0,-3.124999202787876,-3.124999202787876,1.0
80000,9.323499,-0.3659075,0.010777491,0.02483208,0.0002954527,0.19848421,0.0009849938,999.0,-3.4999994412064552,-3.4999994412064552,1.0
90000,9.273673,-0.33917463,0.014895074,0.020144025,0.0002948527,0.19828422,0.0009830139,999.0,-3.624999474734068,-3.624999474734068,1.0
100000,9.324426,-0.3556886,0.009708275,0.025271993,0.00029425268,0.19808422,0.0009810338,999.0,-3.4999992152055106,-3.4999992152055106,1.0
110000,9.318045,-0.3443042,0.011836197,0.020289008,0.0002936527,0.19788422,0.0009790538,999.0,-3.499999463558197,-3.499999463558197,1.0
120000,9.21946,-0.3324985,0.013936347,0.018264042,0.00029305267,0.19768421,0.0009770738,999.0,-2.91666591912508,-2.91666591912508,1.0
130000,9.028817,-0.3192126,0.02026359,0.022580737,0.0002924527,0.19748423,0.00097509386,999.0,-2.374999139457941,-2.374999139457941,1.0
140000,8.825685,-0.24232817,0.018176042,0.02053622,0.00029185266,0.19728422,0.0009731139,999.0,-2.499999225139618,-2.499999225139618,1.0
150000,8.65033,-0.22751695,0.017426472,0.013740076,0.00029125268,0.19708422,0.0009711339,999.0,-2.4999989718198776,-2.4999989718198776,1.0
160000,8.613139,-0.22293985,0.024416698,0.015192,0.00029065265,0.19688423,0.0009691539,999.0,-2.3333323126037917,-2.3333323126037917,1.0
170000,8.5792,-0.28228635,0.019141145,0.021671899,0.00029005267,0.19668423,0.00096717384,999.0,-2.749999240040779,-2.749999240040779,1.0
180000,8.459242,-0.31036347,0.018195618,0.025885899,0.00028945264,0.19648422,0.0009651939,999.0,-2.3333323722084365,-2.3333323722084365,1.0
