Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
20000,1.3271034,0.24358323,0.07251154,0.01971471,0.0002990844,0.1996948,0.0004985045,998.05,0.5009501934051513,0.5009501934051513,1.0
30000,1.2628995,0.07849595,0.06573429,0.015896967,0.00029849398,0.19949798,0.00049754005,None,None,None,1.0
40000,1.2307974,0.077857286,0.054738004,0.021232612,0.0002978853,0.1992951,0.00049654604,999.0,0.7500003598630428,0.7500003598630428,1.0
50000,1.2152387,0.06258767,0.11102926,0.019766547,0.00029729397,0.19909799,0.0004955801,None,None,None,1.0
60000,1.2121829,0.057820052,0.06820428,0.017179806,0.0002966853,0.19889511,0.00049458595,999.0,1.000000309571624,1.000000309571624,1.0
70000,1.2764727,0.01372956,0.13930143,0.021376548,0.00029609396,0.19869798,0.0004936201,None,None,None,1.0
80000,1.2244954,-0.040271156,0.066860504,0.017247256,0.0002954853,0.1984951,0.000492626,999.0,1.7500005323439836,1.7500005323439836,1.0
90000,1.0976633,0.15157034,0.2395344,0.020993171,0.00029489395,0.19829798,0.0004916601,None,None,None,1.0
100000,0.9200409,0.151386,0.14705847,0.021389907,0.00029428533,0.1980951,0.000490666,999.0,4.5000010214746,4.5000010214746,1.0
110000,0.9000679,0.17283525,0.13537866,0.01805155,0.00029369394,0.19789799,0.0004897001,None,None,None,1.0
120000,0.86449623,0.11268529,0.08526057,0.017218567,0.00029308532,0.1976951,0.00048870605,999.0,2.750000783056021,2.750000783056021,1.0
130000,0.77845454,0.25217265,0.34205416,0.018561559,0.00029249396,0.19749801,0.00048774012,None,None,None,1.0
140000,0.76047736,0.17673786,0.15795481,0.019072017,0.0002918853,0.19729511,0.00048674596,999.0,7.7500017616897825,7.7500017616897825,1.0
150000,0.6255202,0.58328646,0.24048471,0.014602377,0.00029129398,0.19709797,0.0004857801,None,None,None,1.0
160000,0.649688,0.5381045,0.2032403,0.017518973,0.0002906853,0.1968951,0.00048478594,999.0,9.00000227317214,9.00000227317214,1.0
170000,0.5402643,0.84511125,0.34965745,0.014825554,0.00029009397,0.196698,0.0004838201,None,None,None,1.0
180000,0.59740204,0.40236148,0.15296915,0.020186128,0.0002894853,0.1964951,0.00048282597,999.0,8.250001711025835,8.250001711025835,1.0
190000,0.52526814,1.3103292,0.6679363,0.013162513,0.00028889396,0.19629796,0.0004818601,None,None,None,1.0
