Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
10000,9.239713,-3.2304552,998.625,0.12537510320544243,0.12537510320544243,1.0
20000,9.220823,-2.3921862,999.0,-0.08333321164051692,-0.08333321164051692,1.0
30000,9.300648,-1.6193764,999.0,-0.3749999329447746,-0.3749999329447746,1.0
40000,9.072806,-0.74029183,999.0,0.5000001763304075,0.5000001763304075,1.0
50000,9.089926,-1.0959952,999.0,0.25000013783574104,0.25000013783574104,1.0
60000,9.042762,-1.6591341,999.0,-0.4166666294137637,-0.4166666294137637,1.0
70000,9.079241,0.22923303,999.0,0.25000014156103134,0.25000014156103134,1.0
80000,9.18385,0.10198492,999.0,0.5833335270484289,0.5833335270484289,1.0
90000,9.06695,-2.8610175,999.0,-0.24999996274709702,-0.24999996274709702,1.0
100000,9.17703,-1.1663142,999.0,0.416666845480601,0.416666845480601,1.0
110000,9.184402,-1.2982225,999.0,1.000000223517418,1.000000223517418,1.0
120000,9.211964,-1.2773645,999.0,0.3333335171143214,0.3333335171143214,1.0
130000,9.216768,0.9725057,999.0,0.8750002682209015,0.8750002682209015,1.0
140000,9.162062,-0.46273902,999.0,0.5833335593342781,0.5833335593342781,1.0
150000,8.958108,-1.0070465,999.0,0.6250002309679985,0.6250002309679985,1.0
160000,9.093613,-0.91244304,999.0,0.5833335270484289,0.5833335270484289,1.0
170000,9.104702,-0.41630682,999.0,0.12500009313225746,0.12500009313225746,1.0
180000,9.099464,-0.5405053,999.0,0.25000014156103134,0.25000014156103134,1.0
190000,9.082672,-0.5369752,999.0,-0.37499992921948433,-0.37499992921948433,1.0
200000,9.042283,-0.6765624,999.0,0.8333336214224497,0.8333336214224497,1.0
210000,8.992151,-0.33874565,999.0,0.8750002570450306,0.8750002570450306,1.0
220000,9.0214,-1.0444974,999.0,0.33333350718021393,0.33333350718021393,1.0
230000,9.098757,0.3187313,999.0,0.12500012665987015,0.12500012665987015,1.0
240000,8.981572,-0.21492241,999.0,0.08333346247673035,0.08333346247673035,1.0
250000,9.089401,-0.711309,999.0,1.0058283805847168e-07,1.0058283805847168e-07,1.0
260000,9.052706,-0.5811694,999.0,0.25000016391277313,0.25000016391277313,1.0
270000,9.139667,0.3195379,999.0,0.6250001676380634,0.6250001676380634,1.0
280000,9.204196,-0.45960304,999.0,0.2500001514951388,0.2500001514951388,1.0
290000,9.12414,0.49076608,999.0,0.6250002458691597,0.6250002458691597,1.0
300000,8.980095,-0.54095185,999.0,-0.08333323399225871,-0.08333323399225871,1.0
310000,9.185711,-1.6273206,999.0,-0.3749999739229679,-0.3749999739229679,1.0
320000,9.003119,0.071396746,999.0,0.5833333979050318,0.5833333979050318,1.0
330000,9.02838,0.122645415,999.0,-0.12499994412064552,-0.12499994412064552,1.0
340000,8.972576,-1.2235075,999.0,0.4166668380300204,0.4166668380300204,1.0
350000,9.082419,0.11500364,999.0,0.7500001825392246,0.7500001825392246,1.0
