Steps,Policy/Entropy,Policy/Extrinsic Value Estimate,Losses/Value Loss,Losses/Policy Loss,Policy/Learning Rate,Policy/Epsilon,Policy/Beta,Environment/Episode Length,Environment/Cumulative Reward,Policy/Extrinsic Reward,Is Training
5000,1.3850074,0.02412472,0.018045526,0.012636814,0.0002994333,0.1998111,0.0009981298,998.2,-0.3991998940706253,-0.3991998940706253,1.0
10000,1.3755627,0.023095995,0.009188344,0.020590378,0.00029868362,0.19956121,0.000995656,999.0,-0.19999992102384567,-0.19999992102384567,1.0
15000,1.3634397,-0.0006017174,0.010371076,0.020864807,0.0002979336,0.1993112,0.000993181,999.0,1.1175870895385742e-07,1.1175870895385742e-07,1.0
20000,1.3657721,-0.011262478,0.00470202,0.010674266,0.0002971836,0.19906121,0.0009907059,999.0,-0.5999999865889549,-0.5999999865889549,1.0
25000,1.3613635,-0.015697982,0.0054210206,0.01561222,0.00029643363,0.1988112,0.0009882309,999.0,-0.39999991804361346,-0.39999991804361346,1.0
30000,1.3354826,-0.02365336,0.009307743,0.022230063,0.00029568363,0.1985612,0.000985756,999.0,0.20000019520521164,0.20000019520521164,1.0
35000,1.2862742,-0.016172681,0.014275237,0.016115148,0.0002949336,0.1983112,0.0009832808,999.0,0.8000003680586815,0.8000003680586815,1.0
40000,1.152299,-0.031276044,0.021206917,0.02030835,0.0002941836,0.1980612,0.000980806,999.0,1.2000001534819602,1.2000001534819602,1.0
45000,1.0037727,0.032391835,0.013448469,0.026654694,0.00029343364,0.19781119,0.0009783308,999.0,0.4000001892447472,0.4000001892447472,1.0
50000,0.8962277,0.056285582,0.021334719,0.016166054,0.0002926836,0.1975612,0.000975856,999.0,1.6000004053115844,1.6000004053115844,1.0
55000,0.75102836,0.04660311,0.019642036,0.017203057,0.0002919336,0.1973112,0.000973381,999.0,1.4000004038214684,1.4000004038214684,1.0
60000,0.73481953,0.09443392,0.019455079,0.018299064,0.00029118362,0.19706121,0.000970906,999.0,2.000000260770321,2.000000260770321,1.0
65000,0.69706875,0.101339914,0.024645247,0.021723267,0.0002904336,0.1968112,0.00096843095,999.0,2.0000005289912224,2.0000005289912224,1.0
70000,0.6133059,0.13273515,0.023888335,0.015524203,0.0002896836,0.19656119,0.000965956,999.0,1.8000004872679711,1.8000004872679711,1.0
75000,0.6203269,0.15240726,0.024526058,0.009740006,0.00028893363,0.1963112,0.00096348097,999.0,2.600000561773777,2.600000561773777,1.0
80000,0.62953913,0.19218162,0.02975664,0.015995523,0.00028818962,0.19606319,0.0009610258,983.0,4.0161607071757315,4.0161607071757315,1.0
85000,0.6565906,0.3865615,0.04256495,0.025532521,0.00028747425,0.19582477,0.00095866516,908.2,6.290960973501205,6.290960973501205,1.0
90000,0.6104336,0.4561383,0.047672085,0.015449377,0.0002868238,0.19560792,0.0009565185,998.8,7.0002013593912125,7.0002013593912125,1.0
